,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.3,0.0,0.06,0.21,0.33,0.02,0.86,0.17,0.65,0.15,0.11,0.45
dvt.csv,0.84,0.49,0.11,0.76,0.9,0.23,0.76,0.83,1.0,0.43,0.25,0.73
flylinkdc.csv,0.68,0.92,0.84,0.86,0.38,0.48,0.52,0.61,0.08,0.94,0.94,0.91
fulguro.csv,0.0,0.23,0.43,0.19,0.1,0.5,0.29,0.28,0.0,0.25,0.53,0.45
fw4spl.csv,0.46,0.34,0.26,0.29,0.19,0.6,0.24,0.61,0.06,0.17,0.19,0.36
ipfire-wall.csv,0.41,0.56,0.35,0.14,0.1,0.15,0.1,0.78,0.0,0.33,0.22,0.45
jruby.csv,0.76,1.0,1.0,0.17,0.0,0.25,0.0,0.0,0.79,0.7,0.56,0.0
ldview.csv,0.89,0.54,0.4,0.4,0.76,0.77,0.0,1.0,0.74,0.24,0.92,0.82
nuttx.csv,0.46,0.04,0.68,0.05,0.33,0.46,0.0,0.33,0.52,0.21,0.42,0.09
oorexx.csv,0.78,0.28,0.04,0.29,0.71,0.67,0.24,0.83,0.78,0.22,0.67,0.64
uclmda.csv,0.16,0.0,0.16,0.14,0.38,0.23,0.33,0.22,0.99,0.01,0.0,0.09
vdsf.csv,0.57,0.35,0.7,0.71,0.62,0.23,0.43,1.0,0.39,0.86,0.83,0.82
