,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,1.0,0.5,0.56,0.62,0.21,0.68,1.0,0.0,0.88,0.84,0.51,0.5,0.43,0.3,0.61,0.43,1.0
avisynth2.csv,0.18,0.0,0.12,0.15,0.0,0.03,1.0,0.0,0.0,0.13,0.0,0.26,0.2,0.0,0.0,0.06,0.0
bigdata.csv,0.16,0.12,0.5,0.08,0.04,0.17,1.0,0.2,1.0,0.28,1.0,0.8,0.57,0.17,0.42,0.3,1.0
dsworkbench.csv,0.78,0.1,0.0,0.08,0.08,0.05,0.0,0.6,0.0,0.14,0.18,0.47,0.0,0.14,0.0,0.12,0.0
foursquared.csv,0.32,0.15,0.12,0.23,0.92,0.08,0.67,0.2,0.12,0.19,0.04,0.12,0.03,0.19,0.11,0.24,0.0
geotools.csv,0.68,0.77,0.81,0.8,0.83,0.62,1.0,0.6,1.0,0.62,0.89,0.52,0.46,0.54,0.21,0.56,1.0
gephex.csv,1.0,0.82,0.75,0.98,0.42,0.65,0.0,0.4,1.0,0.81,0.68,0.46,0.83,0.94,0.86,0.68,1.0
jgossipforum.csv,0.02,0.18,0.62,0.18,0.21,0.15,0.0,1.0,0.75,0.15,0.24,0.17,0.29,0.4,0.07,0.13,0.0
madman.csv,0.04,0.33,0.19,0.37,0.62,0.38,0.0,0.2,0.88,0.32,0.21,0.05,0.8,0.29,0.44,0.7,0.0
pokenetonline.csv,1.0,0.97,1.0,0.77,0.96,1.0,1.0,0.8,1.0,0.95,0.9,0.96,0.29,0.87,0.94,0.79,1.0
qmmp.csv,0.78,0.67,0.75,0.38,0.92,0.9,1.0,0.2,0.88,0.91,0.59,0.78,0.69,0.65,0.48,0.93,0.0
rcp-company-uibindings.csv,0.82,0.37,0.56,0.32,0.79,0.59,0.67,0.4,1.0,0.62,0.61,0.67,0.29,0.48,0.11,0.87,1.0
simplewebservices.csv,0.76,0.82,0.88,0.9,0.54,0.68,1.0,0.8,0.75,0.67,0.65,0.95,0.23,0.78,0.68,0.78,1.0
t-2.csv,0.56,0.95,0.56,0.45,0.92,0.64,0.33,0.0,1.0,0.36,0.85,0.33,0.23,0.54,0.04,0.69,1.0
wsmt.csv,0.38,0.02,0.12,0.0,0.25,0.15,0.33,0.0,0.0,0.13,0.07,0.31,0.74,0.05,0.0,0.62,0.0
yarp0.csv,0.64,0.35,0.69,0.38,0.33,0.53,0.0,1.0,0.88,0.55,0.58,0.44,0.66,0.76,0.44,0.48,0.0
