,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.32,0.29,0.2,0.8,0.76,0.61,0.57,0.44,0.94,0.38,0.03,0.67,0.14,0.47,0.95,0.73
chaosrts.csv,0.37,0.37,0.76,0.15,0.4,0.37,0.43,0.43,0.48,0.52,0.55,0.53,0.75,0.29,0.16,0.95
dxengine.csv,0.34,0.46,0.25,0.9,0.58,0.55,0.56,0.57,0.04,0.42,0.1,0.8,0.42,0.64,0.42,0.73
e-bio-flow.csv,0.1,0.44,0.16,0.3,0.48,0.23,0.63,0.53,0.06,0.25,0.13,0.05,0.5,0.0,0.05,0.29
jbpm.csv,0.15,0.16,0.02,0.0,0.06,0.02,0.14,0.05,0.02,0.15,0.0,0.15,0.0,0.0,0.26,0.08
jchassis.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
jmoney.csv,0.22,0.51,0.51,0.45,0.79,0.52,0.52,0.31,0.4,0.71,0.43,0.53,0.38,0.23,0.21,0.47
jmonkeyengine.csv,0.54,0.63,0.73,0.6,0.49,0.23,0.36,0.66,0.2,0.62,0.97,0.28,0.65,0.74,0.16,0.69
joustsim.csv,0.34,0.3,0.82,0.35,0.87,0.23,0.36,0.27,0.52,0.25,0.82,0.08,0.83,0.53,0.05,0.32
jsidplay2.csv,0.27,0.05,0.33,0.25,0.24,0.6,0.39,0.1,0.72,0.12,0.18,0.37,0.23,0.14,0.68,0.76
log4net.csv,0.2,0.48,0.18,0.05,0.08,0.33,0.19,0.14,0.08,0.46,0.17,0.27,0.13,0.0,0.32,0.48
piccolo2d.csv,0.0,0.51,0.02,0.05,0.15,0.32,0.18,0.1,0.16,0.15,0.05,0.12,0.07,0.0,0.37,0.27
reaper3d.csv,0.44,0.67,0.31,0.6,0.45,0.33,0.77,0.41,0.32,0.65,0.2,0.15,0.38,0.17,0.21,0.02
sblim.csv,0.37,0.08,0.18,0.05,0.17,0.2,0.03,0.08,0.14,0.33,0.88,0.13,0.15,0.0,0.21,0.55
thedata.csv,0.68,0.78,0.51,0.6,0.69,0.76,0.82,0.68,0.42,0.79,0.42,0.42,0.79,0.44,0.89,0.08
tmva.csv,0.66,0.84,0.57,0.9,0.81,0.99,0.97,0.67,1.0,0.9,0.28,0.97,0.54,0.67,0.95,0.9
