,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.87,0.77,0.62,0.46,0.32,0.5,1.0
encog-java.csv,0.26,0.08,0.0,0.03,0.12,0.38,0.0
h2database.csv,0.27,0.23,0.12,0.37,0.05,0.37,0.08
haphazard.csv,0.44,0.43,0.25,0.59,0.43,0.25,0.62
jaql.csv,0.47,0.23,0.21,0.22,0.2,0.46,0.0
raven-monitoring.csv,0.43,0.47,0.27,0.23,0.19,0.58,0.08
v8.csv,0.23,0.33,0.83,0.73,0.94,0.63,0.15
