,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.22,0.25,0.56,0.55,0.66,0.3,0.81
encog-java.csv,0.4,0.07,0.0,0.44,0.31,0.17,0.01
h2database.csv,0.33,0.43,0.18,0.62,0.38,0.22,0.26
haphazard.csv,0.14,0.09,0.55,0.39,0.36,0.47,0.59
jaql.csv,0.26,0.3,0.44,0.65,0.49,0.24,0.38
raven-monitoring.csv,0.21,0.18,0.66,0.4,0.1,0.41,0.35
v8.csv,0.05,0.26,0.5,0.41,0.54,0.26,0.9
