,recall,precision,pf,pci_20,ifa,wins
auber.csv,0.79,0.58,0.56,0.42,1.0,4
delphilhlplib.csv,0.55,0.71,0.28,0.55,0.0,11
exordium.csv,0.63,0.71,0.31,0.59,1.0,12
fltk.csv,0.56,0.69,0.32,0.54,1.0,10
genoviz.csv,0.18,0.82,0.04,0.82,0.0,16
gzigzag.csv,0.33,0.68,0.18,0.57,1.0,8
irrlicht.csv,1.0,0.55,1.0,0.38,3.0,1
moast.csv,0.26,0.43,0.38,0.72,7.0,0
mptvseries.csv,0.49,0.72,0.17,0.56,0.0,14
openfrag.csv,0.74,0.68,0.44,0.47,1.0,9
qse.csv,0.64,0.66,0.44,0.5,1.0,7
sauerbraten.csv,0.9,0.54,0.78,0.43,2.0,2
toped.csv,0.87,0.59,0.81,0.46,2.0,3
truevision.csv,0.6,0.7,0.4,0.49,2.0,6
uwom.csv,0.55,0.71,0.24,0.61,1.0,13
zoolib.csv,0.6,0.78,0.31,0.57,1.0,15
zxing.csv,0.55,0.61,0.33,0.47,1.0,5
