,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.23,0.35,1.0,0.26,0.0,0.04,0.54,0.52,0.0,0.22,0.35
cubefs.csv,0.51,0.42,0.38,0.73,0.16,0.57,0.65,0.99,0.04,0.79,0.67
iaml.csv,0.47,0.4,0.38,0.47,0.32,0.45,0.98,0.48,0.0,0.58,0.5
ivataopenportal.csv,0.31,0.36,0.0,0.68,0.0,0.99,0.46,0.57,0.0,0.48,0.23
mb-unit.csv,0.49,0.36,0.32,0.99,0.1,0.63,0.67,0.54,0.04,0.69,0.59
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.53,0.96,0.37,0.57,0.0,0.45,0.52,0.6,0.0,0.56,0.52
olex2.csv,0.47,0.48,0.37,0.67,0.0,0.31,0.34,0.47,0.0,0.47,0.95
openwbem.csv,0.97,0.34,0.3,0.82,0.16,0.55,0.59,0.72,0.04,0.65,0.54
xcmetadataservicestoolkit.csv,0.52,0.38,0.23,0.64,0.19,0.56,0.55,0.48,0.0,1.0,0.53
