,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.1,0.29,0.34,0.45,0.38,0.5,0.65,0.6,0.91,0.47,0.45
bscwweasel.csv,0.02,0.14,0.52,0.6,0.67,0.42,0.39,0.45,0.35,0.69,0.62
capcode.csv,0.03,1.0,0.95,0.9,0.52,0.58,0.52,0.33,0.87,0.42,0.56
lamp.csv,0.06,0.57,0.25,0.55,0.95,0.67,1.0,0.53,0.61,0.69,0.74
nodal.csv,0.02,0.21,0.43,0.45,0.57,0.58,0.05,0.16,0.61,0.75,0.39
pydev.csv,0.85,0.5,0.36,0.7,0.86,0.83,0.28,0.76,0.52,0.69,0.84
retromenu.csv,0.55,0.57,0.5,0.2,0.71,0.5,0.17,0.16,0.3,0.08,0.11
smbopensoft.csv,0.8,0.93,0.8,0.5,0.38,0.17,0.65,0.24,0.35,0.42,0.55
stuproa-cims.csv,0.0,0.07,0.34,0.25,0.67,0.0,0.02,0.56,0.35,0.44,0.79
thout.csv,0.27,0.43,0.61,0.35,0.86,0.92,0.94,0.71,0.83,0.61,0.63
uface.csv,1.0,1.0,0.91,0.85,1.0,0.75,1.0,0.69,0.57,0.5,0.94
