,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.9,0.87,0.68,0.57,0.75,0.83,0.52,0.79,0.97,0.71,0.69
bscwweasel.csv,0.98,0.86,0.56,0.44,0.5,0.63,0.78,0.67,0.67,0.66,0.41
capcode.csv,0.97,0.91,0.9,0.81,0.58,0.48,0.66,0.7,0.46,0.71,0.54
lamp.csv,0.94,0.5,0.75,0.6,0.91,0.78,1.0,0.54,0.65,0.51,0.6
nodal.csv,0.98,0.79,0.58,0.61,0.72,0.53,0.95,0.84,0.41,0.59,0.62
pydev.csv,0.88,0.55,0.65,0.68,0.55,0.72,0.8,0.82,0.62,0.46,0.87
retromenu.csv,0.46,0.51,0.53,0.82,0.35,0.61,0.84,0.85,0.72,0.92,0.89
smbopensoft.csv,0.29,0.97,0.91,0.77,0.96,0.87,0.64,0.84,0.68,0.84,0.5
stuproa-cims.csv,1.0,0.93,0.67,0.75,0.52,1.0,0.98,0.46,0.7,0.66,0.54
thout.csv,0.78,0.8,0.44,0.66,0.55,0.65,0.87,0.83,0.92,0.76,0.45
uface.csv,1.0,1.0,0.89,0.52,0.73,0.68,1.0,0.71,0.66,0.69,0.1
