,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.22,0.0,0.0,0.0,0.43,0.0,1.0,0.5,0.83,1.0,0.33,0.19
dvt.csv,0.29,0.1,0.76,1.0,0.83,0.07,0.23,0.67,0.97,0.88,0.43,0.05
flylinkdc.csv,0.97,0.36,0.79,0.36,0.55,0.13,0.19,0.42,0.96,0.84,0.67,0.17
fulguro.csv,0.55,0.33,0.62,0.27,0.5,0.0,0.2,0.5,0.0,0.8,0.83,1.0
fw4spl.csv,0.16,0.22,0.9,0.17,0.34,1.0,0.29,0.26,0.89,1.0,0.52,0.12
ipfire-wall.csv,0.31,0.12,0.78,0.32,0.4,0.16,0.29,1.0,0.99,0.83,0.64,0.38
jruby.csv,0.21,0.09,0.81,0.33,0.4,0.11,0.12,0.18,1.0,0.99,0.56,0.2
ldview.csv,0.4,0.22,0.84,0.19,0.95,0.11,0.25,0.46,0.95,0.94,0.62,0.2
nuttx.csv,0.27,0.07,0.99,0.41,0.67,0.14,0.0,0.39,0.97,0.89,0.64,0.14
oorexx.csv,0.29,0.07,0.86,0.36,0.39,0.15,0.23,0.31,0.96,0.86,1.0,0.16
uclmda.csv,0.18,0.07,0.86,0.4,0.28,0.1,0.21,0.21,1.0,0.88,0.59,0.11
vdsf.csv,0.24,0.95,0.82,0.26,0.37,0.11,0.26,0.31,0.97,0.88,0.58,0.11
