,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.05,0.0,0.0,0.0,0.14,0.0,0.86,0.11,0.03,0.02,0.03,0.27
dvt.csv,0.14,0.28,0.2,1.0,0.24,0.04,0.14,0.22,0.56,0.71,0.17,0.18
flylinkdc.csv,1.0,0.12,0.08,0.12,0.52,0.12,0.14,0.44,0.17,0.13,0.44,0.45
fulguro.csv,0.16,0.2,0.08,0.14,0.1,0.0,0.14,0.17,0.0,0.03,0.14,0.91
fw4spl.csv,0.14,0.13,0.31,0.31,0.52,0.94,0.67,0.44,0.05,0.06,0.31,0.36
ipfire-wall.csv,0.22,0.4,0.23,0.21,0.1,0.25,0.19,1.0,0.91,0.2,0.19,0.27
jruby.csv,0.54,1.0,0.88,0.48,0.38,0.27,0.19,0.11,0.09,0.99,0.14,0.09
ldview.csv,0.27,0.33,0.28,0.31,0.9,0.25,0.33,0.33,0.35,0.38,0.42,0.45
nuttx.csv,0.81,0.78,0.99,0.79,0.1,0.9,0.0,0.39,1.0,0.79,0.44,0.55
oorexx.csv,0.65,0.65,0.27,0.45,0.57,0.79,0.29,0.61,0.75,0.54,0.94,0.64
uclmda.csv,0.49,0.63,0.61,0.55,0.67,0.5,0.29,0.33,0.99,0.52,0.61,0.27
vdsf.csv,0.78,0.87,0.95,0.74,1.0,0.77,1.0,0.89,0.93,0.89,0.94,0.82
