,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.0,1.0,1.0,1.0,9.0,19.0,3.0,8.0,1.0,8.0,4.0,0.0
baadengine.csv,0.0,0.0,11.0,0.0,23.0,7.0,28.0,3.0,4.0,1.0,1.0,2.0
chaosrts.csv,0.0,0.0,2.0,0.0,13.0,10.0,12.0,10.0,3.0,3.0,0.0,1.0
chaperon.csv,1.0,0.0,2.0,2.0,49.0,1.0,7.0,4.0,2.0,6.0,1.0,1.0
empyrean.csv,621.0,0.0,67.0,91.0,49.0,19.0,155.0,70.0,74.0,161.0,157.0,51.0
hydrate.csv,0.0,2.0,6.0,0.0,23.0,2.0,11.0,2.0,4.0,6.0,0.0,0.0
jaxlib.csv,0.0,1.0,67.0,3.0,2.0,28.0,14.0,33.0,1.0,18.0,2.0,0.0
joustsim.csv,3.0,0.0,6.0,0.0,7.0,2.0,20.0,1.0,4.0,16.0,0.0,0.0
loki-lib.csv,0.0,0.0,11.0,0.0,12.0,7.0,25.0,31.0,1.0,17.0,2.0,3.0
owlapi.csv,1.0,0.0,6.0,1.0,49.0,51.0,6.0,2.0,6.0,10.0,2.0,1.0
pamguard.csv,0.0,2.0,11.0,1.0,49.0,8.0,31.0,36.0,2.0,41.0,1.0,3.0
poormans.csv,1.0,0.0,5.0,1.0,25.0,51.0,21.0,6.0,0.0,0.0,0.0,2.0
