,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.2,0.51,0.64,0.71,0.5,0.25,0.32,0.82,0.1,0.74,0.58,0.64
baadengine.csv,0.74,0.91,0.91,0.97,1.0,0.25,0.88,1.0,1.0,1.0,0.81,1.0
chaosrts.csv,0.75,0.49,0.45,0.49,0.5,0.25,0.4,0.82,0.62,0.38,0.76,1.0
chaperon.csv,0.41,0.2,0.5,0.63,0.0,1.0,0.44,0.18,0.34,0.56,0.16,0.39
empyrean.csv,0.0,0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.27,0.16,0.77,0.41,0.5,0.5,0.84,0.45,0.34,0.74,0.18,0.73
jaxlib.csv,0.29,0.33,0.0,0.15,1.0,0.5,0.16,0.82,0.38,0.24,0.83,0.24
joustsim.csv,0.28,0.71,0.86,0.25,1.0,0.5,0.56,0.82,0.86,0.85,0.2,0.58
loki-lib.csv,0.45,0.57,0.27,0.24,0.5,0.25,0.36,0.91,0.69,0.65,0.73,0.73
owlapi.csv,0.98,0.42,0.14,0.53,0.0,0.0,0.8,0.45,0.21,0.65,0.57,0.52
pamguard.csv,0.61,0.55,0.36,0.78,0.0,0.5,0.56,0.27,0.31,0.62,0.93,0.42
poormans.csv,0.65,0.29,0.45,0.63,1.0,0.0,0.52,0.27,0.03,0.68,0.39,1.0
