,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.1,0.34,0.35,0.58,0.46,0.58,0.3,0.52,0.02,0.54,0.63,0.32
baadengine.csv,0.19,0.87,0.78,0.94,0.96,0.38,0.76,0.45,0.96,0.52,0.63,0.95
chaosrts.csv,0.55,0.55,0.28,0.3,0.52,0.42,0.18,0.42,0.37,0.2,0.11,0.84
chaperon.csv,0.21,0.18,0.39,0.52,0.42,0.06,0.29,0.15,0.46,0.52,0.21,0.21
empyrean.csv,0.0,0.29,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.38,0.16,0.52,0.3,0.79,0.33,0.54,0.13,0.35,0.34,0.26,0.37
jaxlib.csv,0.16,0.34,0.07,0.27,0.06,0.73,0.15,0.83,0.26,0.25,0.58,0.16
joustsim.csv,0.21,0.66,0.65,0.24,0.33,0.35,0.57,0.17,0.83,0.61,0.05,0.47
loki-lib.csv,0.07,0.39,0.35,0.18,0.58,0.31,0.29,0.87,0.3,0.52,0.32,0.68
owlapi.csv,1.0,0.42,0.15,0.52,0.62,0.38,0.25,0.1,0.24,0.51,0.63,0.21
pamguard.csv,0.39,0.47,0.39,0.42,0.58,0.5,0.66,0.77,0.24,0.79,0.89,0.53
poormans.csv,0.82,0.29,0.46,0.64,1.0,0.17,0.3,0.18,0.0,0.18,0.42,0.95
