,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.38,0.44,0.52,0.56,0.45,0.54,0.86,0.05,0.48,0.2,0.13,0.05,0.49,0.13,0.0,0.48
galaxium.csv,0.53,0.41,0.45,0.3,0.57,0.08,0.73,0.3,0.6,0.78,0.61,0.54,0.52,0.44,0.56,0.54
hydrate.csv,0.21,0.17,0.44,0.0,0.38,0.01,0.11,0.36,0.24,0.34,0.21,0.22,0.27,0.17,0.45,0.58
ivef-sdk.csv,0.57,0.55,0.59,0.68,0.46,1.0,0.39,0.06,0.53,0.33,0.0,0.0,0.62,0.4,0.33,0.0
jmri.csv,0.42,0.27,0.64,0.16,0.13,0.6,0.4,0.6,0.42,0.2,0.54,0.35,0.4,0.17,0.24,0.25
jython.csv,0.65,0.55,0.64,0.36,0.39,0.55,0.0,0.86,0.53,0.59,0.52,0.0,0.65,0.23,0.21,0.5
kdenlive.csv,0.73,0.62,0.56,0.43,0.64,0.22,0.21,0.05,0.77,0.69,0.63,0.59,0.56,0.54,0.57,0.65
ninject.csv,0.2,0.31,0.57,0.29,0.29,0.46,0.44,0.11,0.15,0.54,0.42,0.47,0.18,0.52,0.96,0.56
ondex.csv,0.51,0.34,0.55,0.49,0.09,0.0,0.21,0.77,0.42,0.2,0.65,0.28,0.63,0.11,0.0,0.31
opentibia.csv,0.46,0.77,0.45,0.31,0.49,0.01,0.57,0.45,0.0,0.44,0.69,0.29,0.48,0.2,0.45,0.55
runuomondains.csv,0.44,0.35,0.7,0.2,0.25,0.16,0.48,0.7,0.6,0.42,0.77,0.4,0.46,0.2,0.45,0.45
somap.csv,0.0,0.0,0.48,0.47,0.38,0.0,0.49,0.0,0.0,0.3,0.21,0.88,0.34,0.0,0.49,0.0
taverna.csv,0.42,0.45,0.27,0.23,0.69,0.12,0.66,0.24,0.34,0.41,0.55,0.34,0.6,0.35,0.0,0.31
tigermud.csv,0.4,0.54,0.48,0.61,0.6,0.0,0.04,0.21,0.09,0.48,0.29,0.55,0.3,0.65,0.76,0.63
unbvision.csv,0.63,0.45,0.48,0.29,0.39,0.23,0.42,0.8,0.78,0.56,0.68,0.24,0.61,0.24,0.73,0.47
x-ray-mule.csv,0.3,0.35,0.29,0.79,0.63,0.0,0.2,0.11,0.34,0.36,0.0,0.37,0.48,0.6,0.22,0.07
