,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.79,0.81,0.41,0.56,0.89,0.52,0.51,0.61,0.45,0.33,0.72,0.89,0.24,0.48,0.37,0.15,0.68,0.87,0.51,0.69
betoffice.csv,0.64,0.57,0.31,0.38,0.72,0.24,0.65,0.55,0.13,0.75,0.56,0.7,0.09,0.58,0.38,0.21,0.57,0.78,0.35,0.48
bionote.csv,0.59,0.89,0.33,0.3,0.64,0.08,0.3,0.41,0.51,0.39,0.5,0.56,0.47,0.62,0.41,0.17,0.7,0.76,0.4,0.59
bnetd.csv,0.89,0.9,0.45,0.54,0.49,0.44,0.26,0.67,0.47,0.66,0.69,0.96,0.29,0.73,0.45,0.15,0.84,0.87,0.44,0.77
elvishrayrenderer.csv,0.58,0.64,0.1,0.52,0.81,0.6,0.24,0.04,0.26,0.83,0.27,0.61,0.35,0.69,0.35,0.07,0.35,0.56,0.57,0.81
emisview.csv,0.48,0.0,0.35,0.56,0.65,0.63,0.35,0.25,0.49,0.04,0.59,0.66,0.3,0.63,0.41,0.18,0.31,0.32,0.51,0.26
findbugs.csv,0.8,0.8,0.32,0.36,0.79,0.37,0.75,0.61,0.45,0.15,0.58,0.49,0.19,0.6,0.52,0.17,0.75,0.83,0.3,0.68
hazelcast.csv,0.74,0.72,0.53,0.48,0.95,0.48,0.64,0.54,0.42,0.51,0.48,0.8,0.26,0.75,0.4,0.16,0.4,0.68,0.54,0.59
jitterbit.csv,0.83,0.92,0.36,0.58,0.89,0.47,0.47,0.25,0.61,0.32,0.67,0.73,0.25,0.68,0.56,0.06,0.68,0.86,0.49,0.67
jppf-project.csv,0.68,0.69,0.33,0.27,0.77,0.3,0.62,0.64,0.28,0.55,0.47,0.84,0.24,0.63,0.46,0.09,0.44,0.86,0.41,0.55
jruby.csv,0.6,0.0,0.09,0.29,0.75,0.07,0.29,0.48,0.19,0.18,0.0,0.35,0.0,0.33,0.41,0.02,0.19,0.8,0.24,0.28
kolmafia.csv,0.88,0.89,0.36,0.51,0.72,0.46,0.62,0.67,0.44,0.79,0.74,0.9,0.24,0.76,0.54,0.15,0.79,0.93,0.44,0.78
l2j.csv,0.72,0.73,0.32,0.48,0.71,0.46,0.59,0.55,0.45,0.56,0.61,0.76,0.23,0.66,0.44,0.24,0.81,0.37,0.45,0.57
megasquirtavr.csv,0.88,0.9,0.51,0.47,0.91,0.46,0.75,0.63,0.45,0.94,0.69,0.9,0.2,0.61,0.53,0.15,0.82,0.9,0.46,0.65
qedo.csv,0.17,0.1,0.08,0.26,0.23,0.08,0.24,0.44,0.21,0.72,0.33,0.49,0.08,0.42,0.1,0.37,0.03,0.05,0.12,0.19
stajistics.csv,0.8,0.9,0.09,0.47,0.82,0.56,0.48,0.51,0.3,0.96,0.6,0.9,0.3,0.71,0.54,0.18,0.84,0.7,0.65,0.79
trackit.csv,0.4,0.02,0.12,0.43,0.47,0.42,0.67,0.08,0.38,0.54,0.48,0.16,0.0,0.17,0.27,0.1,0.1,0.27,0.37,0.19
wxlua.csv,0.36,0.75,0.19,0.44,0.31,0.21,0.49,0.0,0.38,0.85,0.59,0.45,0.21,0.45,0.42,0.17,0.47,0.21,0.21,0.47
x4x.csv,0.81,0.73,0.32,0.39,0.64,0.37,0.67,0.66,0.37,0.82,0.62,0.8,0.1,0.58,0.48,0.16,0.8,0.9,0.36,0.77
xharbour.csv,0.81,0.86,0.46,0.38,0.71,0.46,0.75,0.54,0.43,0.71,0.56,0.59,0.36,0.65,0.56,0.05,0.78,0.89,0.47,0.73
