,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.85,0.49,0.73,0.49,0.26,0.51,0.77,0.91,0.75,0.83,0.45,0.76,0.74,0.68,0.86,0.92,0.67,0.85,0.58,0.64
betoffice.csv,0.56,0.7,0.7,0.83,0.96,0.87,0.95,0.64,0.92,0.72,0.76,0.86,0.99,0.92,0.82,0.61,0.75,0.66,0.88,0.81
bionote.csv,0.72,0.64,0.71,0.78,0.53,0.96,0.83,0.85,0.6,0.76,0.65,0.71,0.31,0.54,0.7,0.69,0.66,0.63,0.65,0.69
bnetd.csv,0.67,1.0,0.49,0.52,0.72,0.6,0.87,1.0,0.54,0.62,0.43,1.0,0.77,0.65,0.77,0.94,0.99,0.8,0.92,0.79
elvishrayrenderer.csv,0.64,0.86,0.95,0.63,0.35,0.42,0.87,0.98,0.81,0.79,0.85,0.92,0.46,0.55,0.86,0.9,0.78,0.82,0.46,0.32
emisview.csv,0.81,1.0,0.67,0.49,0.52,0.37,0.79,0.85,0.52,0.98,0.59,0.89,0.58,0.62,0.69,0.82,0.81,0.84,0.53,0.85
findbugs.csv,1.01,0.5,0.94,0.72,1.03,0.79,0.72,0.75,0.62,0.92,0.61,0.69,0.86,0.56,0.57,0.7,0.87,0.82,0.99,0.69
hazelcast.csv,0.8,0.51,0.44,0.63,0.09,0.77,0.71,0.66,0.81,0.75,0.67,0.69,0.66,0.58,0.8,0.67,0.75,0.77,0.52,0.63
jitterbit.csv,1.0,0.68,0.61,0.56,0.61,0.66,0.68,0.86,0.38,0.81,0.97,0.55,0.92,0.78,0.61,0.93,0.81,0.91,0.74,0.59
jppf-project.csv,0.71,0.88,0.85,0.82,0.46,0.85,0.72,0.81,0.91,0.95,0.83,0.29,0.66,0.56,0.7,0.84,0.75,0.85,0.64,0.86
jruby.csv,0.57,1.0,0.95,0.79,0.43,0.96,0.85,0.71,0.86,0.91,1.0,0.79,1.0,0.79,0.7,1.0,0.89,0.6,0.82,0.84
kolmafia.csv,1.0,1.0,0.99,0.79,0.46,0.94,0.89,1.0,0.65,0.81,0.74,0.76,0.84,0.34,0.94,0.89,0.61,1.0,0.75,0.89
l2j.csv,0.81,0.56,0.72,0.6,0.45,0.66,0.81,0.73,0.65,0.65,0.53,0.83,0.87,0.53,0.7,0.53,0.4,0.79,0.66,0.77
megasquirtavr.csv,1.0,1.0,0.51,0.88,1.0,1.0,0.96,0.82,0.61,0.75,1.0,0.76,0.92,0.84,1.0,0.98,0.97,0.9,0.88,0.84
qedo.csv,0.91,1.11,0.98,0.87,0.87,0.96,0.94,0.72,0.85,0.75,0.79,0.67,0.93,0.74,0.95,0.37,0.98,0.98,0.93,0.93
stajistics.csv,0.93,1.0,0.95,1.0,0.34,0.68,0.7,0.74,0.93,0.88,0.79,1.01,0.56,1.0,0.9,0.63,0.89,0.75,0.37,1.0
trackit.csv,0.87,0.99,0.93,0.66,0.69,0.63,0.55,0.96,0.66,0.79,0.96,0.92,1.0,0.91,0.82,0.85,0.95,0.84,0.7,0.93
wxlua.csv,0.8,0.94,0.98,0.86,1.0,0.85,0.78,1.0,0.66,0.44,0.94,0.94,0.72,0.79,0.69,0.72,0.89,0.92,0.85,0.89
x4x.csv,0.42,0.99,0.74,0.81,1.01,0.69,0.87,0.87,0.8,0.79,0.79,0.92,0.96,0.82,0.74,0.88,0.8,0.95,0.79,0.79
xharbour.csv,0.93,0.25,0.57,0.71,0.45,0.64,0.54,0.79,0.64,0.65,0.8,0.84,0.48,0.55,0.77,1.12,0.67,0.95,0.68,0.53
