,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.56,0.72,0.62,0.68,0.9,0.52,0.39,0.64,0.67,0.41,0.35,0.54,0.54,0.96,0.35,0.56,0.29
avisynth2.csv,0.92,0.5,0.8,0.88,0.0,0.98,0.8,0.5,0.0,0.96,0.67,0.85,0.77,0.0,0.5,0.93,0.83
bigdata.csv,0.8,0.67,0.64,0.83,0.0,0.83,0.63,0.89,0.46,0.63,0.35,0.47,0.73,0.96,0.48,0.81,0.28
dsworkbench.csv,0.5,0.97,0.92,0.88,0.89,0.66,0.77,0.59,0.66,0.76,0.84,0.83,0.8,0.86,0.63,0.93,0.51
foursquared.csv,0.81,0.68,0.86,0.8,0.52,0.99,0.69,0.92,0.8,0.77,0.75,0.96,0.8,0.78,0.97,0.73,0.75
geotools.csv,0.39,0.46,0.34,0.36,0.28,0.42,0.4,0.81,0.33,0.47,0.33,0.4,0.36,0.38,0.52,0.38,0.28
gephex.csv,0.36,0.51,0.45,0.35,0.68,0.46,0.47,0.55,0.42,0.4,0.53,0.55,0.45,0.41,0.36,0.43,0.29
jgossipforum.csv,0.5,0.62,0.42,0.92,0.94,0.9,0.8,0.95,0.47,0.97,0.64,0.98,0.44,0.5,0.94,0.96,0.48
madman.csv,0.9,0.58,0.44,0.83,0.44,0.87,0.86,0.91,0.5,0.65,0.78,0.86,0.52,0.89,0.76,0.55,0.92
pokenetonline.csv,0.37,0.48,0.39,0.4,0.32,0.42,0.39,0.41,0.36,0.36,0.35,0.38,0.37,0.4,0.35,0.38,0.29
qmmp.csv,0.42,0.55,0.41,0.55,0.34,0.47,0.61,0.96,0.42,0.42,0.46,0.42,0.47,0.56,0.53,0.42,0.42
rcp-company-uibindings.csv,0.37,0.43,0.5,0.71,0.37,0.51,0.39,0.75,0.36,0.43,0.39,0.46,0.41,0.41,0.95,0.43,0.71
simplewebservices.csv,0.36,0.45,0.45,0.35,0.35,0.45,0.41,0.49,0.45,0.43,0.46,0.41,0.41,0.41,0.43,0.46,0.28
t-2.csv,0.57,0.48,0.6,0.6,0.34,0.82,0.7,0.86,0.43,0.92,0.38,0.89,0.48,0.47,0.94,0.51,0.95
wsmt.csv,0.75,0.0,0.85,0.75,0.86,0.8,0.8,0.0,0.0,0.98,0.86,0.98,0.67,0.0,0.83,0.62,0.52
yarp0.csv,0.43,0.64,0.48,0.64,0.56,0.75,0.85,0.41,0.51,0.53,0.51,0.68,0.37,0.46,0.52,0.62,0.94
