,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.56,0.21,0.45,0.16,0.17,0.35,0.98,0.26,0.43,0.54,1.0,0.46,0.4,0.18,0.57,0.2,0.94
avisynth2.csv,0.12,0.04,0.05,0.08,0.02,0.06,0.03,0.01,0.0,0.07,0.05,0.24,0.17,0.0,0.01,0.0,0.06
bigdata.csv,0.19,0.0,0.42,0.08,0.0,0.2,0.55,0.04,0.86,0.24,1.0,0.49,0.2,0.16,0.61,0.0,0.84
dsworkbench.csv,0.38,0.19,0.26,0.04,0.13,0.37,0.48,0.47,0.55,0.27,0.27,0.22,0.17,0.37,0.61,0.2,0.44
foursquared.csv,0.19,0.17,0.11,0.16,0.17,0.12,0.23,0.05,0.06,0.3,0.02,0.03,0.1,0.06,0.1,0.2,0.04
geotools.csv,0.56,0.6,0.63,0.6,0.76,0.35,0.65,0.15,0.69,0.27,0.85,0.62,0.87,0.29,0.31,0.9,0.92
gephex.csv,1.0,0.88,0.71,0.96,0.39,0.48,0.65,0.65,0.92,0.63,0.34,0.41,0.53,0.95,0.96,0.4,0.82
jgossipforum.csv,0.06,0.19,0.37,0.12,0.26,0.13,0.08,0.07,0.22,0.07,0.39,0.08,0.53,0.16,0.09,0.1,0.43
madman.csv,0.06,0.31,0.29,0.32,0.33,0.3,0.1,0.3,0.2,0.39,0.27,0.16,0.57,0.05,0.43,0.9,0.12
pokenetonline.csv,0.88,0.54,0.61,0.16,0.72,0.63,0.74,0.75,0.73,0.61,0.71,0.81,0.87,0.77,0.7,0.3,0.89
qmmp.csv,0.62,0.54,0.74,0.36,0.78,0.9,0.55,0.1,0.49,0.81,0.59,0.89,0.63,0.19,0.5,0.7,0.6
rcp-company-uibindings.csv,0.75,0.44,0.34,0.08,0.37,0.29,0.42,0.15,0.51,0.41,0.51,0.57,0.53,0.26,0.06,0.0,0.26
simplewebservices.csv,1.0,0.98,0.84,0.88,0.63,0.76,0.98,0.62,0.86,0.71,0.66,0.97,0.63,1.0,0.34,0.2,1.0
t-2.csv,0.56,0.92,0.5,0.4,0.91,0.15,0.32,0.03,0.76,0.24,0.85,0.41,0.63,0.66,0.07,0.9,0.18
wsmt.csv,0.44,0.0,0.29,0.12,0.3,0.38,0.06,0.0,0.02,0.25,0.07,0.14,0.13,0.0,0.04,0.5,0.5
yarp0.csv,0.62,0.6,0.26,0.48,0.54,0.17,0.21,0.93,0.57,0.57,0.44,0.51,0.93,0.69,0.5,0.4,0.17
