,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.76,0.5,0.5,0.83,0.74,0.98,1.0,0.81,0.5,0.96,1.0
avisynth2.csv,0.8,1.0,0.97,0.88,0.9,0.05,1.0,1.0,1.0,1.0,1.0
coot.csv,1.0,0.83,0.86,0.86,0.88,1.0,0.76,0.61,0.95,0.37,0.65
dsworkbench.csv,0.27,0.88,0.94,0.94,0.86,1.02,0.8,0.96,0.63,0.94,0.91
freelords.csv,0.52,0.73,0.58,0.42,0.88,0.59,0.73,0.57,0.92,0.5,0.73
gephex.csv,1.0,0.87,0.52,0.73,0.67,1.09,0.44,0.86,0.92,0.95,1.01
jas.csv,0.84,0.66,0.78,0.77,0.86,0.36,0.78,0.58,0.17,0.82,0.9
jpaul.csv,0.88,0.74,0.69,0.32,0.67,1.05,0.93,0.85,0.46,0.9,0.95
ngl.csv,0.81,0.87,0.74,0.71,0.72,0.37,0.85,0.49,0.68,0.57,0.74
scenemonitor.csv,0.65,0.7,0.62,0.48,0.29,1.0,0.73,0.56,0.91,0.9,0.88
synecdoche.csv,0.78,0.69,0.68,0.59,0.74,1.02,0.65,0.73,0.91,0.52,0.39
