,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.43,0.1,0.13,0.54,0.0,0.25,0.14,0.04,0.4,0.56,0.0,0.0,0.62
empserver.csv,0.51,0.09,0.18,0.27,0.0,0.31,0.06,0.07,0.4,0.77,0.07,0.47,0.6
emulemorph.csv,0.0,0.0,1.0,0.33,0.0,0.5,0.0,0.12,0.0,0.39,0.0,0.0,0.55
google-web-toolkit.csv,0.51,0.12,0.28,0.32,0.0,0.36,0.06,0.08,0.32,0.58,0.09,0.52,0.72
htmlunit.csv,0.49,0.12,0.36,0.35,0.0,0.52,0.21,0.08,0.36,0.55,0.14,0.42,0.57
jaxen.csv,0.49,0.16,0.2,0.26,0.01,0.37,0.38,0.05,0.34,0.49,0.09,0.41,0.61
jguard.csv,0.51,0.09,0.17,0.3,0.0,0.31,0.06,0.06,0.47,0.52,0.1,0.57,0.6
kowari.csv,0.52,0.2,0.25,0.33,0.0,0.38,0.06,0.06,0.33,0.48,0.27,0.62,0.53
maidsafe-dht.csv,0.55,0.26,0.41,0.28,0.0,0.47,0.09,0.09,0.35,0.55,0.09,0.5,0.62
mimosa.csv,0.55,0.08,0.22,0.32,0.0,0.34,0.06,0.05,0.48,0.56,0.16,0.78,0.57
vdsf.csv,0.55,0.2,0.18,0.3,0.0,0.26,0.03,0.04,0.35,0.51,0.04,0.38,0.56
xbrlapi.csv,0.67,1.0,0.21,0.2,0.0,0.31,0.09,0.09,0.32,1.0,0.03,0.63,0.59
