,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.18,0.62,0.54,0.01,0.41,0.13,0.56,0.06,0.72,0.47,0.6
emono.csv,0.35,0.59,0.7,0.05,0.26,0.21,0.64,0.11,0.66,0.55,0.7
haggle.csv,0.42,0.65,0.33,0.19,0.25,0.07,0.17,0.11,0.6,0.2,0.37
hannosset.csv,0.0,0.14,0.14,0.0,0.35,0.37,0.31,0.0,0.05,0.32,0.26
jas.csv,0.39,0.5,0.32,0.08,0.32,0.05,0.64,0.5,0.42,0.29,0.48
jgossipforum.csv,0.43,0.54,0.46,0.42,0.44,0.0,0.61,0.0,0.6,0.42,0.46
madman.csv,0.07,0.53,0.32,0.02,0.52,0.15,0.47,0.05,0.25,0.26,0.36
mediate.csv,0.29,0.57,0.7,0.06,0.33,0.14,0.52,0.27,0.66,0.55,0.5
ngl.csv,0.46,0.78,0.68,0.07,0.29,0.14,0.66,0.16,0.67,0.46,0.63
pustefix.csv,0.59,0.27,0.17,0.05,0.19,0.0,0.3,0.11,0.29,0.33,0.4
synecdoche.csv,0.41,0.14,0.5,0.02,0.27,0.21,0.28,0.03,0.39,0.68,0.79
