,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.91,0.65,0.76,1.03,0.4,0.73,0.61,0.95,0.4,0.67,0.64
emono.csv,0.96,0.8,0.97,0.86,0.63,0.67,0.82,0.82,0.58,0.75,0.55
haggle.csv,0.6,0.61,0.79,0.41,0.76,0.9,0.9,0.79,0.61,0.88,0.77
hannosset.csv,1.0,0.92,0.93,1.0,0.55,0.29,0.83,1.05,0.97,0.8,0.85
jas.csv,0.65,0.66,0.86,0.52,0.55,0.94,0.58,0.14,0.81,0.84,0.88
jgossipforum.csv,0.62,0.63,0.69,0.06,0.36,1.08,0.54,1.0,0.54,0.76,0.7
madman.csv,0.96,0.63,0.81,0.88,0.27,0.72,0.67,0.99,0.85,0.83,0.79
mediate.csv,0.75,0.6,0.56,0.6,0.56,0.71,0.63,0.43,0.5,0.56,0.67
ngl.csv,0.89,0.93,0.56,0.54,0.8,0.76,0.49,0.59,0.61,0.84,0.79
pustefix.csv,0.39,0.85,0.91,0.81,0.75,1.02,0.85,0.74,0.91,0.77,0.8
synecdoche.csv,0.61,0.92,0.66,0.88,0.9,0.58,0.85,0.98,0.74,0.39,0.95
