,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.7,0.55,0.48,0.65,0.68,0.66,0.69,0.77,0.62,0.69,0.69,0.44,0.54
cuberok.csv,1.13,0.68,0.91,0.8,0.48,0.85,0.83,0.69,0.7,0.87,0.63,0.77,0.73
exist.csv,1.0,0.79,0.95,0.91,0.89,0.99,0.99,0.99,0.32,0.85,0.91,0.93,0.69
google-web-toolkit.csv,0.93,0.88,0.64,0.8,0.75,0.79,0.86,0.55,0.69,0.86,0.52,0.88,0.75
gwanted.csv,0.54,0.56,0.55,0.64,0.61,0.72,0.79,0.35,0.74,0.72,0.58,0.65,0.54
ivatamasks.csv,0.91,0.4,0.67,0.7,0.78,0.73,0.9,0.46,0.65,0.89,0.64,0.71,0.58
ivataopenportal.csv,0.77,0.67,0.72,0.98,1.0,0.4,0.82,0.78,0.69,0.92,0.78,1.0,1.0
jaxen.csv,0.82,0.72,0.1,0.8,0.96,0.91,0.83,0.78,0.66,0.49,0.75,0.92,0.67
rockbox.csv,0.32,0.79,0.35,0.7,0.64,0.85,0.95,0.69,0.69,0.79,0.67,0.5,0.43
rodin-b-sharp.csv,0.47,0.83,1.0,0.93,0.79,0.87,0.23,0.83,0.66,0.69,0.82,0.69,0.75
tcl.csv,1.03,1.0,0.8,0.48,0.92,0.97,0.6,0.69,0.84,0.74,0.78,0.82,0.9
umber.csv,0.15,0.59,0.71,0.98,0.91,0.66,0.89,0.9,0.83,0.96,0.87,0.9,0.85
wheat.csv,0.63,0.87,0.82,1.0,0.62,0.82,0.73,0.9,0.89,0.46,0.76,0.57,0.49
