,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.66,0.22,0.57,0.21
img-browse-sort.csv,0.69,0.55,0.46,0.52
pcsx2.csv,0.7,0.76,0.52,0.41
xstore.csv,0.69,0.72,0.48,0.43
