,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.34,0.16,0.59,0.27
img-browse-sort.csv,0.66,0.46,0.46,0.58
pcsx2.csv,0.7,0.71,0.56,0.37
xstore.csv,0.68,0.66,0.51,0.64
