,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.53,0.85,0.57,0.2
img-browse-sort.csv,0.76,0.83,0.51,0.5
pcsx2.csv,0.63,0.79,0.47,0.26
xstore.csv,0.68,0.75,0.4,0.3
