,theresa.csv,cataclysmos.csv,ildjit.csv,proftp.csv,xstore.csv,boost.csv,wxjs.csv,ffigo.csv,skia.csv,tencompetence.csv
boost.csv,0.1,0.03,0.11,0.44,0.48,0.99,0.11,0.62,0.35,0.65
ffigo.csv,0.06,0.05,0.27,0.57,0.62,0.32,0.0,0.99,0.31,0.6
ildjit.csv,1.0,0.0,1.0,0.33,0.5,0.2,0.0,0.42,0.0,0.26
proftp.csv,0.0,0.0,0.2,1.0,0.79,0.49,0.33,0.74,0.41,0.47
skia.csv,0.18,0.07,0.11,0.71,0.71,0.49,0.14,0.55,1.0,0.61
tencompetence.csv,0.04,0.0,0.14,0.5,0.45,0.52,0.11,0.86,0.4,1.0
theresa.csv,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
xstore.csv,0.08,0.05,0.17,0.44,1.0,0.38,0.1,0.68,0.26,0.56
