,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.48,0.58,0.72,0.5,0.54,0.7,0.7,0.44,0.57,0.58,0.04,0.79,0.64,0.71,0.74,0.87,0.61,0.76
beast-mcmc.csv,0.05,0.53,0.78,0.76,0.72,0.6,0.64,0.64,0.62,0.81,0.67,0.68,0.65,0.67,0.65,0.61,0.61,0.83
cuberok.csv,0.59,0.51,0.77,0.53,0.58,0.76,0.7,0.0,0.49,0.78,0.74,0.63,0.65,0.74,0.79,0.77,0.67,0.74
exist.csv,0.62,0.54,0.62,0.66,0.58,0.91,0.59,0.59,0.64,0.53,0.79,0.76,0.04,0.61,0.92,0.77,0.67,0.91
ingex.csv,0.79,0.94,0.9,1.0,0.91,0.8,0.74,0.97,1.0,0.88,1.02,0.81,0.88,0.95,0.65,0.07,0.91,0.96
javaprofiler.csv,0.57,0.67,0.68,0.83,0.7,0.81,0.63,0.64,0.55,0.69,0.55,0.61,0.63,0.71,0.68,0.61,0.79,0.03
jbasic.csv,0.71,0.69,0.72,0.82,0.8,0.72,0.75,0.71,0.69,0.03,0.92,0.77,0.75,0.88,1.0,0.85,0.91,0.93
jgnash.csv,0.74,0.65,0.78,0.76,0.79,0.7,0.74,0.85,0.12,0.81,0.77,0.92,0.66,0.76,0.88,0.78,0.87,0.87
jrefactory.csv,0.54,0.72,0.02,0.73,0.86,0.57,0.65,0.68,0.66,0.73,0.75,0.77,0.68,0.55,0.77,0.8,0.59,0.57
jsecurity.csv,0.65,0.82,0.76,0.0,0.67,0.78,0.7,0.66,0.86,0.75,0.88,0.82,0.78,0.61,0.74,0.55,0.78,0.69
libopenmetaverse.csv,0.91,0.88,0.7,0.95,0.89,0.0,0.88,0.87,0.83,0.89,0.85,0.79,0.81,0.83,0.74,0.86,0.85,0.76
mobicents.csv,0.68,0.62,0.79,0.72,0.59,0.71,0.02,0.79,0.77,0.59,0.78,0.79,0.61,0.5,0.82,0.74,0.76,0.78
mp-rechnungs-und-kundenverwaltung.csv,0.78,0.7,0.84,0.73,0.69,0.76,0.67,0.96,0.74,0.84,0.85,0.82,0.76,0.11,0.94,0.97,0.8,0.72
openefm.csv,0.68,0.06,0.78,0.62,0.65,0.85,0.6,0.71,0.66,0.71,0.81,0.81,0.51,0.8,0.79,0.68,0.72,0.88
power-architect.csv,0.63,0.81,0.65,0.61,0.64,0.82,0.62,0.86,0.63,0.85,0.61,0.78,0.74,0.7,0.68,0.7,0.02,0.83
sidekar.csv,0.65,0.66,0.84,0.46,0.05,0.62,0.67,0.57,0.63,0.8,0.61,0.71,0.6,0.7,0.71,0.73,0.69,0.82
wheat.csv,0.6,0.81,0.73,0.77,0.73,0.88,0.69,0.78,0.78,0.89,0.79,0.69,0.74,0.73,0.0,0.54,0.56,0.78
yarp0.csv,0.78,0.82,0.63,0.63,0.76,0.69,0.68,0.77,0.84,0.81,0.86,0.0,0.77,0.77,0.81,0.74,0.93,0.66
