,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,1.0,1.0,1.0,1.0,0.98,1.01,0.99,1.0,0.99,1.0,0.98,1.0,0.36,1.0,1.0,1.0,1.0,0.94,0.79,1.0
fbmanager.csv,0.42,0.1,0.69,0.48,0.69,0.66,0.81,0.49,0.47,0.51,0.97,0.85,0.5,0.94,0.44,0.61,0.64,0.71,0.54,0.67
fleet-simulator.csv,0.74,0.34,0.88,0.74,0.82,0.83,0.86,0.64,0.93,0.96,0.93,1.0,0.77,0.87,0.8,0.04,0.86,0.77,0.86,0.58
hannosset.csv,0.88,1.04,0.93,0.82,0.97,1.03,0.75,1.02,0.83,0.43,0.89,0.29,0.85,0.91,0.99,0.67,0.72,0.66,0.87,0.68
hydrate.csv,0.48,0.3,0.59,0.69,0.75,0.6,0.59,0.35,0.27,0.55,1.04,0.68,0.55,0.62,0.49,0.31,0.27,0.68,0.49,0.84
jgossipforum.csv,0.48,1.01,0.93,0.78,0.73,0.63,0.63,0.06,0.63,0.36,0.94,1.08,0.76,0.54,0.63,0.54,1.0,0.8,0.85,0.95
jruby.csv,0.86,1.24,0.78,0.54,0.94,0.85,0.67,0.73,0.9,0.69,0.82,0.38,0.91,0.7,0.71,0.19,0.91,0.54,0.9,0.6
madman.csv,0.67,0.54,0.93,0.74,0.79,0.59,0.82,0.87,0.44,0.22,0.94,0.75,0.8,0.7,0.79,0.82,0.58,0.69,0.88,0.7
mediaportal.csv,0.94,1.0,0.85,0.59,0.91,0.84,0.89,1.0,0.6,0.63,0.75,0.53,0.88,0.52,0.57,0.78,0.8,0.81,0.7,0.66
ninject.csv,0.63,0.36,0.77,0.75,0.74,0.96,0.8,0.86,0.68,0.69,0.74,1.05,0.65,0.68,0.78,1.23,0.13,0.84,0.67,0.63
officefloor.csv,0.82,1.0,0.94,0.43,0.77,0.82,0.78,0.42,0.78,0.66,0.68,0.71,0.82,0.54,0.33,0.59,0.8,0.71,0.67,0.8
ontopia.csv,0.66,0.95,1.02,0.66,0.88,0.75,0.36,0.49,0.82,0.8,0.97,0.89,0.75,0.7,0.75,0.96,0.82,0.84,0.76,0.85
poormans.csv,0.92,0.03,0.92,0.5,0.93,1.02,0.93,0.8,0.41,0.91,0.84,1.01,0.88,0.75,0.3,0.98,0.6,0.83,0.66,0.94
power-architect.csv,1.0,0.87,1.0,0.9,0.7,0.99,0.9,0.79,0.82,0.96,0.28,1.0,0.9,0.94,0.89,1.11,0.57,0.96,1.0,0.5
powerfolder.csv,0.57,1.02,0.83,0.72,0.79,0.64,0.8,0.67,0.09,0.31,0.81,0.75,0.7,0.68,0.65,0.64,0.92,0.6,0.82,0.78
stuproa-cims.csv,0.97,0.13,0.99,0.5,0.41,1.01,0.91,0.81,0.8,0.75,0.84,0.83,1.0,0.62,0.85,1.0,0.69,0.84,0.66,0.54
tart.csv,0.64,1.0,0.73,0.75,0.61,0.29,0.86,0.71,1.01,0.56,0.75,0.97,0.8,0.65,0.66,0.67,0.81,0.83,0.66,0.85
uface.csv,0.67,0.57,1.01,0.92,0.71,0.84,0.65,0.58,0.77,0.71,1.01,0.87,0.89,0.86,0.69,0.48,0.98,0.83,0.74,0.09
wxlua.csv,0.65,0.43,0.51,1.01,0.98,0.6,0.67,0.81,0.16,0.48,0.74,0.73,0.67,0.83,0.84,1.26,0.89,0.81,0.94,0.82
