,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv
alembik.csv,0.74,0.89,0.8,0.48,0.8,0.93,0.5,0.43,0.86
arsenal-1.csv,0.38,0.48,0.52,0.36,0.48,0.47,0.38,0.37,0.47
barracudamvc.csv,0.38,0.37,0.33,0.44,0.38,0.49,0.43,0.38,0.49
irplus.csv,0.52,0.43,0.61,0.67,0.48,0.92,0.6,0.62,0.8
lite.csv,0.92,0.89,0.89,0.86,0.69,0.88,0.89,0.64,0.8
mevenide.csv,0.94,0.61,0.8,0.89,0.9,0.92,0.89,0.89,0.88
mumble.csv,0.71,0.48,0.55,0.53,0.6,0.68,0.79,0.5,0.81
ontopia.csv,0.36,0.28,0.4,0.39,0.46,0.37,0.44,0.44,0.56
openintents.csv,0.63,0.52,0.56,0.48,0.89,0.65,0.57,0.53,0.72
