,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv
alembik.csv,0.39,0.31,0.19,0.98,0.13,0.24,0.0,0.44,0.33
arsenal-1.csv,0.73,0.38,0.96,0.57,0.37,0.61,0.48,0.45,0.36
barracudamvc.csv,1.0,0.52,0.64,0.44,0.48,0.65,0.47,0.38,0.35
irplus.csv,0.54,0.47,0.4,0.49,0.57,0.25,1.0,0.39,0.37
lite.csv,0.22,0.31,0.22,0.14,0.49,0.17,0.24,0.97,0.29
mevenide.csv,0.23,0.29,0.12,0.32,0.46,0.2,0.12,0.17,0.93
mumble.csv,0.41,0.36,0.45,0.62,1.0,0.29,0.46,0.48,0.22
ontopia.csv,0.85,0.57,0.6,0.48,0.39,0.99,0.41,0.27,0.32
openintents.csv,0.41,1.0,0.42,0.62,0.42,0.5,0.48,0.41,0.36
