,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,1.0,0.67,0.09,0.4,1.0,0.8,0.1,0.94,0.54,0.73,0.55,0.18,0.91,0.53
continuum-ide.csv,0.5,0.18,0.27,0.0,1.0,0.2,0.37,0.76,0.0,0.18,0.18,0.09,0.34,0.06
free-evolution.csv,1.0,0.53,0.73,0.8,1.0,0.8,0.97,0.82,0.46,0.91,0.67,0.27,0.51,0.97
gtad.csv,1.0,0.14,0.45,0.1,1.0,0.4,0.3,0.35,0.2,0.27,0.24,0.05,0.28,0.17
jaxen.csv,1.0,0.9,0.64,0.9,0.0,1.0,0.83,0.71,0.48,0.73,0.61,0.68,0.94,0.78
jruby.csv,0.5,0.29,0.36,0.3,0.0,0.6,0.83,0.65,0.25,0.86,0.21,0.64,0.73,1.0
jsr308-langtools.csv,1.0,0.9,0.91,0.9,1.0,1.0,0.93,1.0,0.74,1.0,0.94,0.41,0.98,0.56
kaffeine.csv,1.0,0.86,0.73,0.2,1.0,0.8,1.0,1.0,1.0,0.45,0.7,0.77,0.44,0.92
oorexx.csv,0.0,0.41,0.73,0.3,0.0,0.0,0.43,0.06,0.28,0.18,0.52,0.18,0.18,0.75
qedo.csv,0.0,0.47,0.09,0.1,1.0,0.2,0.27,0.59,0.37,0.18,0.55,0.82,0.06,0.5
sarasvati.csv,0.5,0.12,0.73,0.2,1.0,0.8,0.6,0.65,0.6,0.55,0.24,0.23,0.33,0.11
taokgame.csv,0.5,0.1,0.09,1.0,0.0,0.4,0.23,0.18,0.46,0.14,0.27,0.0,0.08,0.25
zabbix.csv,1.0,0.53,0.55,0.3,0.0,0.6,0.67,0.12,0.43,0.23,0.48,0.14,0.57,0.5
