,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.85,0.56,0.78,0.94,0.7,0.72,0.72,0.41,0.76,0.73,0.05,0.61
blue-c.csv,0.49,0.65,0.62,0.87,0.43,0.56,0.43,0.0,0.7,0.63,0.49,0.5
cities3d.csv,0.71,0.87,0.74,0.69,0.89,0.8,0.11,0.97,0.42,0.72,0.84,0.79
dynalloy.csv,0.63,0.04,0.71,0.96,0.65,0.46,0.58,0.89,0.68,0.81,0.47,0.65
firebird.csv,0.49,0.7,0.02,0.89,0.47,0.62,0.69,0.67,0.57,0.6,0.74,0.64
hydrogen.csv,0.57,0.89,0.68,0.83,0.86,0.74,0.45,0.8,0.06,0.98,0.7,0.67
nosleepsoftware.csv,0.58,1.0,0.62,0.0,0.95,0.82,0.71,1.02,0.75,0.91,0.86,0.7
openmalaria.csv,0.45,0.62,0.57,0.57,0.57,0.4,0.67,0.56,0.41,0.02,0.91,0.51
popeye-chess.csv,0.56,0.74,0.63,0.6,0.55,0.06,0.54,0.62,0.58,0.54,0.75,0.49
qgo.csv,0.03,0.69,0.63,0.83,0.71,0.66,0.59,0.83,0.64,0.68,0.68,0.59
xmoto.csv,0.58,0.78,0.58,0.62,0.59,0.78,0.46,0.79,0.48,0.61,0.88,0.09
yield.csv,0.58,0.66,0.63,0.69,0.01,0.56,0.83,0.48,0.46,0.53,0.87,0.62
