,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.58,0.67,0.58,0.8,0.83,0.71,0.9,0.55,0.88,0.9,0.65,0.65
blue-c.csv,0.6,0.55,0.52,0.94,0.6,0.61,0.52,0.47,0.6,0.65,0.52,0.55
cities3d.csv,0.38,0.46,0.55,0.88,0.54,0.86,0.97,0.0,0.69,0.48,0.43,0.52
dynalloy.csv,0.54,0.74,0.67,0.7,0.56,0.45,0.6,0.73,0.7,0.69,0.5,0.61
firebird.csv,0.52,0.55,0.5,0.65,0.52,0.57,0.65,0.64,0.67,0.63,0.4,0.74
hydrogen.csv,0.6,0.94,0.59,0.9,0.89,0.6,0.71,0.83,0.8,0.67,0.62,0.71
nosleepsoftware.csv,0.67,0.5,0.56,0.75,0.83,0.87,0.98,0.93,0.86,0.89,0.53,0.75
openmalaria.csv,0.34,0.41,0.37,0.37,0.56,0.41,0.37,0.39,0.5,0.51,0.28,0.39
popeye-chess.csv,0.41,0.6,0.47,0.65,0.54,0.55,0.52,0.41,0.62,0.58,0.38,0.47
qgo.csv,0.42,0.48,0.52,0.73,0.68,0.5,0.44,0.83,0.72,0.67,0.45,0.58
xmoto.csv,0.47,0.49,0.44,0.45,0.65,0.6,0.52,0.49,0.58,0.67,0.3,0.53
yield.csv,0.34,0.44,0.36,0.38,0.52,0.48,0.34,0.38,0.51,0.42,0.3,0.4
