,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06,0.0,0.0
coot.csv,0.3,0.39,0.38,0.33,0.25,0.48,0.25,0.37,0.22,1.0
haggle.csv,0.05,0.65,1.0,1.0,0.86,0.34,0.12,0.74,0.25,0.7
ibatisdb.csv,0.0,0.3,0.19,0.0,0.97,0.16,0.0,0.09,0.13,0.45
jas.csv,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.06,0.0,0.02
mesa3d.csv,0.1,0.0,0.16,0.33,0.11,0.17,0.25,0.14,0.84,0.3
ngl.csv,0.25,0.61,0.68,0.67,0.22,1.0,0.88,0.34,0.58,0.57
pustefix.csv,0.35,0.96,0.03,0.0,0.08,0.1,0.0,0.23,0.01,0.02
scenemonitor.csv,1.0,0.87,0.53,0.67,0.94,0.73,0.62,0.57,0.48,0.8
wsmt.csv,0.25,0.17,0.45,0.67,0.17,0.29,0.0,0.97,0.09,0.22
