,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11,0.0,0.0
coot.csv,0.4,0.26,0.47,0.11,0.28,0.55,0.07,0.43,0.28,1.0
haggle.csv,0.1,0.42,0.99,0.22,0.6,0.48,0.06,0.7,0.22,0.64
ibatisdb.csv,0.0,0.25,0.29,0.0,0.99,0.26,0.0,0.13,0.18,0.52
jas.csv,0.0,0.0,0.08,0.0,0.0,0.0,1.0,0.1,0.0,0.05
mesa3d.csv,0.16,0.0,0.26,0.18,0.13,0.26,0.1,0.22,0.89,0.36
ngl.csv,0.36,0.52,0.7,0.09,0.18,1.0,0.23,0.35,0.37,0.57
pustefix.csv,0.31,0.98,0.05,0.0,0.09,0.17,0.0,0.31,0.02,0.05
scenemonitor.csv,1.0,0.46,0.55,0.1,0.52,0.61,0.19,0.5,0.27,0.62
wsmt.csv,0.26,0.15,0.52,0.21,0.15,0.39,0.0,0.97,0.12,0.29
