,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.24,0.39,0.37,0.23,0.23,0.26,0.15,0.34,0.37,0.03,0.22,0.26,0.15,0.19,0.25
cornerstone.csv,0.32,0.26,0.46,0.25,0.31,0.0,0.21,0.33,0.43,0.28,0.17,0.15,0.48,0.0,0.19
esmf.csv,0.93,0.0,0.56,0.27,0.53,0.85,0.83,0.68,0.8,0.67,0.44,0.84,0.64,0.06,0.72
frogatto.csv,0.29,0.34,0.29,0.14,0.28,0.47,0.26,0.29,0.7,0.11,0.22,0.3,0.0,0.94,0.21
gretl.csv,0.53,0.57,0.56,0.75,0.62,0.66,0.88,0.56,0.07,0.64,0.56,0.86,0.55,0.75,0.72
kindb.csv,0.39,0.35,0.32,0.29,0.22,0.36,0.29,0.63,0.2,0.03,0.44,0.32,0.27,0.0,0.27
libtorrent.csv,0.73,0.71,0.63,0.67,0.75,0.83,0.77,0.91,0.57,0.69,0.11,0.57,0.58,0.56,0.72
mia.csv,0.25,0.09,0.22,0.05,0.3,0.28,0.39,0.0,0.0,0.14,0.06,0.24,0.06,0.75,0.04
open-beos.csv,0.48,0.36,0.59,0.0,0.47,0.68,0.77,0.43,0.63,0.5,0.11,0.71,0.45,0.69,0.51
pidgin.csv,0.52,0.5,0.59,0.56,0.03,0.62,0.45,0.52,0.33,0.36,0.56,0.55,0.36,0.44,0.46
quantlib.csv,0.63,0.35,0.78,0.11,0.33,0.47,0.52,0.46,0.33,0.44,0.22,0.41,0.79,0.38,0.0
riff-evolve.csv,0.45,0.27,0.51,0.21,0.22,0.49,0.3,0.39,0.4,0.39,0.17,0.02,0.39,0.12,0.34
tokratan.csv,0.31,0.27,0.07,0.22,0.11,0.02,0.0,0.2,0.5,0.0,0.17,0.02,0.15,0.12,0.18
upp-mirror.csv,0.33,0.46,0.05,0.45,0.19,0.17,0.06,0.2,0.1,0.0,0.33,0.04,0.09,0.0,0.24
wxcrp.csv,0.0,0.13,0.24,0.07,0.05,0.62,0.65,0.25,0.17,0.0,0.0,0.7,0.06,0.12,0.06
