,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.46,0.55,0.78,0.61,0.63,0.68,0.68,0.61,0.77,0.06,0.62,0.61,0.71,0.45,0.64
cornerstone.csv,0.66,0.83,0.65,0.72,0.59,0.0,0.76,0.9,0.66,0.62,0.59,0.76,0.57,0.65,0.73
esmf.csv,0.94,0.06,0.73,0.65,0.88,0.88,0.84,0.7,0.93,0.8,0.69,0.86,0.83,0.8,0.79
frogatto.csv,0.54,0.62,0.55,0.53,0.43,0.61,0.42,0.48,0.74,0.56,0.56,0.64,0.06,0.95,0.62
gretl.csv,0.64,0.62,0.7,0.76,0.66,0.7,0.9,0.75,0.07,0.84,0.65,0.87,0.65,0.75,0.81
kindb.csv,0.55,0.46,0.47,0.55,0.4,0.53,0.39,0.66,0.53,0.9,0.6,0.68,0.39,0.12,0.64
libtorrent.csv,0.75,0.72,0.73,0.71,0.77,0.84,0.77,0.92,0.61,0.7,0.11,0.6,0.62,0.61,0.73
mia.csv,0.72,0.79,0.87,0.93,0.79,0.65,0.56,0.11,1.0,0.76,0.83,0.82,0.86,0.97,0.83
open-beos.csv,0.58,0.61,0.62,0.08,0.66,0.71,0.8,0.51,0.72,0.64,0.47,0.76,0.56,0.7,0.71
pidgin.csv,0.61,0.55,0.64,0.66,0.03,0.75,0.56,0.62,0.53,0.74,0.66,0.7,0.43,0.45,0.57
quantlib.csv,0.67,0.75,0.84,0.82,0.68,0.69,0.61,0.57,0.81,0.79,0.72,0.67,0.84,0.83,0.04
riff-evolve.csv,0.64,0.69,0.68,0.54,0.45,0.65,0.61,0.77,0.59,0.67,0.53,0.05,0.59,0.35,0.82
tokratan.csv,0.92,0.86,0.83,0.84,0.89,0.98,0.27,0.54,0.88,1.0,0.92,0.96,0.96,0.92,0.97
upp-mirror.csv,0.73,0.73,0.05,0.6,0.92,0.95,0.94,0.59,0.85,1.0,0.75,0.88,0.62,0.97,0.56
wxcrp.csv,0.1,0.74,0.69,0.78,0.71,0.8,0.7,0.71,0.69,1.0,0.72,0.79,0.61,0.49,0.92
