,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.56,0.39,0.4,0.49,0.55,0.46,0.26,0.2,0.47,0.95,0.58,0.53,0.42,0.7,0.34
cornerstone.csv,0.38,0.19,0.59,0.38,0.61,1.0,0.18,0.08,0.63,0.46,0.59,0.36,0.65,0.52,0.29
esmf.csv,0.45,0.97,0.56,0.45,0.39,0.6,0.2,0.19,0.63,0.4,0.61,0.6,0.46,0.33,0.3
frogatto.csv,0.49,0.35,0.62,0.57,0.75,0.59,0.35,0.27,0.8,0.55,0.64,0.5,0.97,0.73,0.37
gretl.csv,0.44,0.38,0.6,0.59,0.78,0.63,0.18,0.14,0.99,0.35,0.76,0.64,0.6,0.82,0.28
kindb.csv,0.48,0.46,0.71,0.54,0.76,0.62,0.35,0.21,0.66,0.17,0.71,0.47,0.73,0.94,0.33
libtorrent.csv,0.46,0.38,0.63,0.56,0.79,0.66,0.24,0.16,0.82,0.57,0.99,0.67,0.67,0.75,0.37
mia.csv,0.33,0.27,0.24,0.13,0.38,0.49,0.25,0.94,0.0,0.33,0.3,0.3,0.23,0.44,0.25
open-beos.csv,0.48,0.35,0.72,0.95,0.63,0.65,0.2,0.24,0.74,0.48,0.7,0.59,0.64,0.8,0.29
pidgin.csv,0.46,0.42,0.71,0.53,0.99,0.53,0.25,0.2,0.71,0.35,0.74,0.53,0.74,0.86,0.38
quantlib.csv,0.47,0.25,0.64,0.27,0.52,0.51,0.22,0.21,0.4,0.33,0.47,0.5,0.59,0.37,0.98
riff-evolve.csv,0.41,0.3,0.58,0.56,0.72,0.56,0.24,0.13,0.68,0.42,0.65,0.97,0.58,0.78,0.19
tokratan.csv,0.14,0.16,0.28,0.25,0.2,0.04,0.85,0.29,0.4,0.0,0.17,0.08,0.09,0.15,0.05
upp-mirror.csv,0.33,0.27,0.98,0.53,0.18,0.1,0.08,0.26,0.27,0.0,0.47,0.21,0.53,0.06,0.41
wxcrp.csv,0.95,0.31,0.47,0.33,0.45,0.47,0.21,0.18,0.48,0.0,0.44,0.54,0.54,0.67,0.12
