,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.49,0.45,0.57,0.57,0.5,0.63,0.88,0.61,0.52,0.55,0.51,0.57,0.75,0.35,0.71
cornerstone.csv,0.51,0.75,0.39,0.73,0.5,0.47,0.73,0.65,0.42,0.58,0.53,0.65,0.39,0.58,0.8
esmf.csv,0.42,0.9,0.53,0.68,0.82,0.37,0.47,0.52,0.66,0.51,0.59,0.5,0.66,0.88,0.45
frogatto.csv,0.49,0.46,0.43,0.62,0.36,0.37,0.5,0.48,0.5,0.62,0.43,0.46,0.47,0.51,0.67
gretl.csv,0.52,0.46,0.45,0.43,0.39,0.34,0.43,0.5,0.44,0.59,0.4,0.48,0.46,0.43,0.47
kindb.csv,0.42,0.43,0.35,0.49,0.38,0.38,0.53,0.37,0.36,0.67,0.36,0.43,0.4,0.37,0.61
libtorrent.csv,0.42,0.43,0.42,0.39,0.39,0.34,0.4,0.4,0.42,0.44,0.36,0.4,0.4,0.34,0.36
mia.csv,0.83,0.95,0.95,0.95,0.76,0.61,0.72,0.94,0.0,0.9,0.94,0.98,0.86,0.8,0.88
open-beos.csv,0.47,0.54,0.35,0.59,0.47,0.35,0.51,0.44,0.54,0.53,0.49,0.56,0.41,0.41,0.57
pidgin.csv,0.42,0.42,0.33,0.44,0.39,0.46,0.5,0.42,0.35,0.65,0.37,0.45,0.45,0.37,0.48
quantlib.csv,0.48,0.71,0.47,0.98,0.6,0.5,0.57,0.64,0.83,0.83,0.8,0.62,0.5,0.87,0.96
riff-evolve.csv,0.45,0.52,0.39,0.53,0.35,0.39,0.59,0.55,0.37,0.48,0.49,0.56,0.45,0.32,0.66
tokratan.csv,0.96,0.97,0.93,0.99,0.96,0.5,0.91,0.98,0.98,0.0,0.92,0.83,0.86,0.8,0.94
upp-mirror.csv,0.78,0.58,0.46,0.58,0.97,0.91,0.89,0.67,0.96,0.0,0.66,0.93,0.76,0.0,0.66
wxcrp.csv,0.68,0.73,0.48,0.96,0.65,0.43,0.6,0.6,0.5,0.0,0.63,0.62,0.56,0.35,0.88
