,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.62,0.66,0.73,0.03,0.76,0.6,0.58,0.82,0.74,0.76,0.75,0.67,0.58,0.65,0.78
bibletime.csv,0.58,0.32,0.78,0.59,0.82,0.75,0.66,0.8,0.51,0.89,0.0,0.94,0.57,0.69,0.77
boost.csv,0.69,0.85,0.62,0.79,0.01,0.64,1.0,0.83,0.86,0.84,0.75,0.83,0.8,0.9,0.75
doomlegacy.csv,0.62,0.64,0.67,0.59,0.72,0.61,0.54,0.7,0.08,0.85,0.61,0.64,0.67,0.52,0.61
gpac.csv,0.68,0.71,0.03,0.69,0.8,0.81,0.81,0.75,0.89,0.48,0.56,0.68,0.73,0.73,0.74
kftpgrabber.csv,0.61,0.88,0.77,0.71,0.85,0.03,1.01,0.8,0.85,0.72,0.81,0.81,0.78,0.96,0.86
nativeclient.csv,0.46,0.51,0.81,0.64,0.69,0.64,0.62,0.69,0.61,0.65,0.67,0.68,0.47,0.67,0.03
netatalk.csv,0.56,0.7,0.67,0.81,0.71,0.51,0.07,0.77,0.74,0.63,0.65,0.63,0.56,0.7,0.78
open-ms.csv,0.76,0.73,0.96,0.79,0.87,0.77,0.79,0.81,0.66,0.88,0.78,0.1,0.84,0.92,0.77
openmsx.csv,0.74,0.89,0.62,0.88,0.6,0.68,0.69,0.11,0.58,0.83,0.65,0.76,0.63,0.82,0.74
rosegarden.csv,0.06,0.48,0.65,0.74,0.74,0.51,0.79,0.92,0.57,0.51,0.69,0.69,0.52,0.83,0.79
rsyslog.csv,0.52,0.0,0.74,0.55,0.67,0.39,0.53,0.8,0.66,0.63,0.56,0.67,0.55,0.53,0.5
sandiaportals.csv,0.64,0.35,0.7,0.62,0.71,0.58,0.7,0.73,0.75,0.89,0.61,0.69,0.6,0.0,0.53
xmoto.csv,0.52,1.0,0.89,0.89,0.6,0.47,0.72,0.68,0.66,0.78,0.51,0.63,0.03,0.73,0.91
xqilla.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,1.0,1.0,0.97,1.0,1.0
