,nutz.csv,jajuk.csv,ossim.csv,massiv.csv,v8.csv,ngl.csv,qmmp.csv,mesa3d.csv,rcp-company-uibindings.csv
jajuk.csv,0.99,0.28,0.71,0.73,0.7,0.53,0.49,0.71,1.0
massiv.csv,0.97,0.89,0.7,0.03,0.99,0.95,1.0,1.0,0.96
mesa3d.csv,0.6,0.87,0.59,0.73,0.8,0.58,0.66,0.54,0.76
ngl.csv,0.47,0.55,0.85,0.85,0.74,0.46,0.53,0.75,0.63
nutz.csv,0.33,0.82,0.94,0.87,1.06,0.74,0.83,0.97,0.92
ossim.csv,0.8,0.84,0.32,0.55,0.99,0.77,0.71,0.72,0.85
qmmp.csv,0.45,0.5,0.54,0.56,0.8,0.51,0.39,0.81,0.7
rcp-company-uibindings.csv,0.53,0.5,0.51,0.7,0.58,0.52,0.56,0.84,0.14
v8.csv,0.85,0.78,0.83,0.74,0.19,0.85,0.87,1.0,0.65
