,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.77,0.57,0.79,0.81,0.73,0.72,0.28,0.91,1.0,0.95,0.94,0.71,0.77,0.38,0.84,0.5,0.79
beast-mcmc.csv,0.56,0.76,0.37,0.71,0.85,0.61,0.4,0.77,0.55,0.52,0.83,0.77,0.81,0.69,1.0,0.75,0.83
bscwweasel.csv,0.97,0.79,0.83,0.43,0.82,0.93,0.79,0.58,0.46,0.86,0.69,0.74,0.69,1.07,0.81,0.72,0.68
codeblocks.csv,0.71,0.69,0.61,0.51,0.69,0.54,0.39,0.76,0.94,0.77,0.9,0.91,0.49,1.04,1.0,0.42,0.65
gamestone.csv,0.93,0.29,0.96,0.94,0.89,0.95,0.92,0.91,0.97,0.97,0.88,0.96,0.98,0.8,0.97,0.76,0.94
iaml.csv,0.82,0.65,0.54,0.96,0.81,0.85,0.77,0.69,0.87,0.71,0.47,0.76,0.54,0.82,0.92,0.97,0.68
jbasic.csv,0.8,0.77,0.72,0.77,0.61,0.93,0.61,1.0,0.95,0.42,0.81,0.77,0.97,0.88,0.68,0.86,0.89
modplug.csv,0.89,0.85,0.83,0.86,0.84,0.71,0.97,0.9,1.0,0.9,0.98,0.95,0.84,0.99,0.99,0.29,0.85
pdfedit.csv,0.68,0.64,0.69,0.87,0.39,0.79,0.69,0.77,0.74,0.84,0.8,0.78,0.89,0.5,0.46,0.52,0.69
redshell.csv,0.88,0.63,0.72,0.82,0.68,0.99,0.98,0.44,1.0,0.66,0.71,0.79,0.87,0.73,0.94,0.93,0.67
sabbu.csv,0.38,0.75,0.48,0.76,0.54,0.63,0.46,0.73,0.71,0.64,0.83,0.64,0.89,0.28,0.54,0.69,0.73
silvertree.csv,0.49,0.68,0.71,0.71,0.72,0.65,0.81,0.79,0.48,0.76,0.75,0.36,0.89,0.69,0.91,0.91,0.85
t-2.csv,0.89,0.89,0.68,0.79,0.84,0.79,0.64,0.79,0.98,0.9,0.56,0.74,0.4,1.12,1.0,1.02,0.82
xinity.csv,0.92,1.03,0.79,0.74,0.67,0.92,0.97,0.62,0.78,0.79,0.55,0.92,0.97,0.9,0.63,0.95,0.52
xreal.csv,0.9,0.78,0.84,0.88,0.76,0.86,0.92,0.78,0.92,0.85,0.81,0.86,0.96,0.02,0.87,1.04,0.8
zabbix.csv,0.51,0.77,0.61,0.94,0.48,0.64,0.75,0.7,0.55,0.56,0.85,0.54,0.92,0.32,0.6,0.85,0.84
zengine.csv,0.7,0.92,0.94,0.97,0.98,0.98,0.98,1.0,0.18,1.0,0.87,1.0,0.98,0.96,0.85,1.0,0.96
