,reactos-mirror.csv,critterding.csv,fceugc.csv,ogre.csv,autat.csv,mimosa.csv,alpine.csv,qse.csv,openfrag.csv,uclmda.csv,qdvdauthor.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,sandiaportals.csv,nativeclient.csv,factor.csv,miranda.csv
alpine.csv,0.88,1.0,0.05,0.38,0.38,0.95,0.83,1.0,0.76,0.54,0.25,0.62,0.69,1.0,0.77,0.0,1.0,0.05,1.0
autat.csv,0.23,0.56,0.29,0.06,0.69,0.18,0.5,0.46,0.27,0.63,0.4,0.08,0.31,0.0,0.05,0.3,0.06,0.95,0.7
critterding.csv,0.6,0.65,0.95,0.62,0.88,1.0,0.75,0.51,0.86,0.07,0.88,1.0,0.88,0.38,0.8,0.55,0.86,0.95,0.84
elateportal.csv,0.86,0.91,0.67,0.47,0.94,0.37,0.83,0.57,0.62,1.0,0.62,0.54,0.5,0.71,0.95,0.96,0.23,0.9,0.87
factor.csv,0.18,0.32,0.05,0.02,0.19,0.05,0.33,0.57,0.09,0.29,0.08,0.08,0.42,0.02,0.52,1.0,0.07,0.95,0.78
fceugc.csv,0.63,0.41,0.67,0.32,0.75,0.45,0.83,0.43,0.56,0.34,0.6,0.92,0.19,0.6,0.8,0.6,0.86,0.71,0.78
jstock.csv,0.55,0.35,0.33,0.34,0.81,0.47,0.67,0.37,0.58,0.01,0.65,0.92,0.23,0.21,0.36,0.28,0.13,0.46,0.41
keyczar.csv,0.24,0.35,0.1,0.51,0.0,0.0,0.08,0.06,0.02,0.48,0.12,0.15,0.27,0.73,0.95,0.11,0.24,0.22,0.07
mimosa.csv,0.66,0.85,0.57,0.86,1.0,0.82,0.83,0.74,0.8,0.99,0.75,1.0,0.73,0.96,1.0,1.0,0.96,0.41,0.66
miranda.csv,0.0,0.0,0.48,0.3,0.0,0.05,0.75,0.0,0.09,0.06,0.2,0.0,0.19,0.29,0.84,1.0,0.01,0.05,0.74
nativeclient.csv,0.67,0.41,0.57,0.47,0.62,0.68,0.92,0.8,0.74,0.67,0.65,0.62,0.31,0.31,0.09,0.72,0.66,0.41,0.74
ogre.csv,0.47,0.35,0.67,0.94,0.5,0.66,0.83,0.43,0.58,0.83,0.65,0.85,0.58,0.94,1.0,0.66,0.84,0.27,0.29
openfrag.csv,0.18,0.65,0.62,0.14,0.69,0.87,0.5,0.43,0.73,0.36,0.57,0.69,0.77,0.0,0.8,0.89,0.41,0.95,0.87
qdvdauthor.csv,0.94,0.65,0.71,0.42,0.38,0.53,0.67,0.97,0.79,0.66,0.78,0.23,0.58,0.23,0.07,0.98,0.9,0.07,0.59
qse.csv,0.5,0.32,0.57,0.22,0.25,0.76,0.83,0.8,0.59,0.68,0.35,0.54,0.31,0.12,0.11,0.57,0.3,0.63,0.84
reactos-mirror.csv,0.61,0.68,0.67,0.48,0.75,0.74,0.67,0.91,0.82,0.64,0.75,0.85,0.77,0.25,1.0,1.0,1.0,0.05,1.0
sandiaportals.csv,0.57,0.65,0.57,0.15,0.88,0.79,0.58,0.91,0.68,0.93,0.62,0.46,0.42,0.17,0.0,0.79,0.55,0.76,0.81
synergyspace.csv,0.19,0.29,0.1,0.28,0.38,0.63,0.25,0.57,0.32,0.59,0.28,0.38,0.65,0.31,0.09,0.23,0.47,0.02,0.1
uclmda.csv,0.07,0.24,0.1,0.05,0.25,0.0,0.0,0.09,0.08,0.99,0.02,0.0,0.23,0.29,0.05,0.15,0.02,0.76,0.06
