,reactos-mirror.csv,critterding.csv,fceugc.csv,ogre.csv,autat.csv,mimosa.csv,alpine.csv,qse.csv,openfrag.csv,uclmda.csv,qdvdauthor.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,sandiaportals.csv,nativeclient.csv,factor.csv,miranda.csv
alpine.csv,0.56,0.62,0.09,0.54,0.26,0.62,0.36,0.6,0.73,0.7,0.36,0.32,0.37,0.86,0.85,0.0,0.75,0.09,0.8
autat.csv,0.34,0.58,0.37,0.11,0.5,0.22,0.25,0.6,0.41,0.76,0.53,0.12,0.17,0.0,0.09,0.46,0.11,0.91,0.71
critterding.csv,0.51,0.66,0.51,0.76,0.31,0.64,0.13,0.49,0.7,0.13,0.8,0.46,0.33,0.49,0.84,0.64,0.71,0.81,0.74
elateportal.csv,0.55,0.61,0.47,0.64,0.34,0.37,0.19,0.54,0.62,0.98,0.64,0.36,0.21,0.77,0.98,0.85,0.35,0.83,0.76
factor.csv,0.26,0.42,0.07,0.04,0.27,0.1,0.13,0.56,0.17,0.45,0.13,0.12,0.28,0.04,0.68,0.88,0.12,0.93,0.73
fceugc.csv,0.51,0.42,0.61,0.48,0.34,0.58,0.17,0.48,0.61,0.49,0.7,0.47,0.19,0.69,0.84,0.71,0.74,0.7,0.74
jstock.csv,0.49,0.46,0.38,0.5,0.41,0.59,0.3,0.5,0.63,0.02,0.7,0.71,0.24,0.33,0.52,0.44,0.22,0.6,0.53
keyczar.csv,0.24,0.34,0.13,0.68,0.0,0.0,0.05,0.08,0.03,0.65,0.2,0.11,0.3,0.8,0.94,0.18,0.35,0.32,0.12
mimosa.csv,0.48,0.6,0.35,0.91,0.33,0.78,0.17,0.53,0.65,0.98,0.69,0.45,0.41,0.84,0.94,0.85,0.73,0.47,0.65
miranda.csv,0.0,0.0,0.45,0.46,0.0,0.1,0.15,0.0,0.16,0.12,0.31,0.0,0.21,0.43,0.89,0.85,0.01,0.09,0.76
nativeclient.csv,0.53,0.47,0.45,0.63,0.34,0.71,0.18,0.63,0.67,0.79,0.68,0.41,0.29,0.45,0.16,0.79,0.71,0.52,0.75
ogre.csv,0.39,0.39,0.42,0.97,0.23,0.69,0.13,0.39,0.51,0.9,0.66,0.36,0.36,0.83,0.94,0.69,0.69,0.31,0.41
openfrag.csv,0.29,0.63,0.52,0.25,0.25,0.66,0.22,0.59,0.76,0.51,0.65,0.38,0.31,0.0,0.85,0.85,0.52,0.8,0.78
qdvdauthor.csv,0.58,0.58,0.5,0.59,0.18,0.53,0.14,0.6,0.68,0.79,0.79,0.22,0.42,0.34,0.12,0.85,0.72,0.12,0.63
qse.csv,0.5,0.44,0.56,0.35,0.26,0.56,0.23,0.78,0.63,0.8,0.45,0.33,0.26,0.21,0.2,0.7,0.43,0.7,0.78
reactos-mirror.csv,0.61,0.63,0.51,0.64,0.41,0.68,0.16,0.74,0.77,0.77,0.75,0.43,0.43,0.37,0.96,0.85,0.74,0.07,0.8
sandiaportals.csv,0.51,0.54,0.45,0.26,0.37,0.59,0.22,0.67,0.74,0.95,0.66,0.48,0.26,0.28,0.0,0.86,0.64,0.79,0.75
synergyspace.csv,0.25,0.37,0.14,0.44,0.24,0.7,0.08,0.47,0.4,0.74,0.41,0.26,0.45,0.45,0.16,0.36,0.55,0.04,0.17
uclmda.csv,0.12,0.27,0.15,0.1,0.25,0.0,0.0,0.14,0.12,1.0,0.05,0.0,0.13,0.45,0.09,0.24,0.04,0.77,0.1
