,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.51,0.26,0.3,0.45,0.35,0.03,0.71,0.55,0.15,0.46,0.1,0.72,0.38,0.08
emeraldemu.csv,0.53,0.3,0.23,0.45,0.67,0.37,0.56,0.24,0.42,0.05,0.71,0.43,0.13,0.15
frogatto.csv,0.64,0.29,0.22,0.67,0.52,0.58,0.63,0.4,0.38,0.74,0.82,0.63,0.47,0.36
grafx2.csv,0.56,0.33,0.46,0.59,0.6,0.52,0.65,0.51,0.45,0.76,0.81,0.67,0.48,0.35
jahshakafx.csv,0.68,0.35,0.36,0.59,0.6,0.53,0.61,0.49,0.45,0.77,0.75,0.61,0.55,0.21
nassp.csv,0.52,0.29,0.0,0.56,0.48,0.43,0.32,0.37,0.65,0.74,0.61,0.38,0.47,0.49
netatalk.csv,0.62,0.29,0.25,0.65,0.5,0.56,0.58,0.52,0.39,0.7,0.8,0.58,0.61,0.4
open-beos.csv,0.62,0.32,0.31,0.53,0.53,0.63,0.44,0.42,0.4,0.71,0.79,0.63,0.46,0.29
psycle.csv,0.5,0.26,0.31,0.71,0.53,0.57,0.66,0.52,0.35,0.75,0.83,0.73,0.4,0.3
quantlib.csv,0.47,0.21,0.0,0.79,0.47,0.57,0.15,0.0,0.34,0.37,0.82,0.0,0.0,0.49
reaper-ecad.csv,0.59,0.2,0.41,0.29,0.47,0.28,0.38,0.0,0.0,0.0,0.44,0.52,0.24,0.0
sbml.csv,0.5,0.33,0.32,0.73,0.49,0.58,0.72,0.54,0.36,0.71,0.81,0.67,0.48,0.36
unimrcp.csv,0.54,0.26,0.29,0.72,0.53,0.5,0.62,0.63,0.44,0.62,0.73,0.67,0.56,0.37
unladen-swallow.csv,0.38,0.3,0.06,0.57,0.39,0.46,0.44,0.56,0.29,0.57,0.35,0.57,0.55,0.25
