,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,0.93,0.92,0.55,0.95,0.87,0.86,0.88
bwapi.csv,0.47,0.53,0.33,0.55,0.44,0.41,0.3
gisgraphy.csv,0.38,0.52,0.52,0.95,0.78,0.33,0.73
lite.csv,0.75,0.86,0.48,0.62,0.94,0.67,0.77
ontopia.csv,0.37,0.47,0.37,0.52,0.45,0.32,0.34
smartgwt.csv,0.65,0.59,0.46,0.57,0.61,0.62,0.49
