,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.93,0.72,0.63,0.59,0.76
encog-java.csv,0.68,0.08,0.06,0.28,0.24
h2database.csv,0.61,0.72,0.14,0.7,0.25
jaql.csv,0.86,0.64,0.34,0.63,0.35
raven-monitoring.csv,0.18,0.26,0.66,0.31,0.05
