,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.25,0.6,0.48,0.63,0.73
lcfizvtop.csv,0.61,0.58,0.45,0.81,0.21
migen.csv,0.64,0.33,0.18,0.11,0.19
mvnforum.csv,0.0,0.21,0.34,0.84,0.5
plplot.csv,0.29,0.33,0.32,0.18,0.12
