,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.45,0.38,0.47,0.42,0.59,0.44,0.46,0.3,0.33,0.41,0.5,0.47,0.37,0.34,0.44,0.39,0.4,0.63,0.41,0.42
doomlegacy.csv,0.41,0.36,0.46,0.49,0.49,0.55,0.63,0.35,0.38,0.54,0.54,0.66,0.42,0.4,0.42,0.39,0.47,0.61,0.47,0.46
elmo.csv,0.95,0.75,0.0,0.83,0.94,0.75,0.97,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.86,0.0
enzo.csv,0.37,0.43,0.38,0.37,0.39,0.45,0.35,0.32,0.35,0.38,0.4,0.42,0.37,0.3,0.38,0.34,0.49,0.48,0.4,0.36
gpac.csv,0.69,0.64,0.86,0.58,0.64,0.59,0.59,0.5,0.76,0.51,0.68,0.64,0.59,0.48,0.64,0.55,0.73,0.56,0.83,0.53
img-browse-sort.csv,0.96,0.38,0.97,0.92,0.97,0.93,0.97,0.57,0.68,0.73,0.8,0.95,0.65,0.77,0.8,0.86,0.65,0.75,0.96,0.89
ktc.csv,0.5,0.8,0.82,0.87,0.66,0.75,0.99,0.93,0.97,0.71,0.81,0.53,0.78,0.62,0.69,0.49,0.58,0.67,0.66,0.58
neoengine.csv,0.49,0.52,0.6,0.52,0.61,0.65,0.57,0.34,0.49,0.5,0.54,0.51,0.52,0.41,0.51,0.54,0.55,0.75,0.57,0.47
nicepress.csv,0.6,0.96,0.59,0.5,0.57,0.57,0.98,0.73,0.87,0.88,0.71,0.8,0.98,0.8,0.88,0.63,0.99,0.57,0.84,0.75
open-ms.csv,0.85,0.71,0.86,0.57,0.99,0.69,0.99,0.93,0.64,0.73,0.84,0.94,0.65,0.79,0.78,0.7,0.86,0.94,0.91,0.57
pcsx2.csv,0.46,0.52,0.5,0.52,0.58,0.86,0.44,0.4,0.54,0.48,0.49,0.55,0.48,0.46,0.7,0.62,0.54,0.67,0.62,0.56
pi-qmc.csv,0.57,0.43,0.56,0.5,0.77,0.59,0.68,0.63,0.85,0.4,0.54,0.48,0.47,0.43,0.39,0.72,0.56,0.62,0.67,0.81
rosegarden.csv,0.54,0.77,0.52,0.8,0.66,0.58,0.98,0.94,0.91,0.44,0.81,0.53,0.82,0.8,0.67,0.63,0.73,0.83,0.66,0.79
salasaga.csv,0.52,0.63,0.58,0.49,0.54,0.58,0.52,0.52,0.6,0.68,0.6,0.61,0.59,0.41,0.58,0.43,0.85,0.5,0.5,0.51
sigil.csv,0.44,0.41,0.62,0.43,0.59,0.47,0.41,0.41,0.64,0.4,0.49,0.47,0.45,0.4,0.69,0.86,0.64,0.68,0.56,0.46
skia.csv,0.73,0.94,0.62,0.67,0.66,0.86,0.98,0.88,0.74,0.56,0.95,0.59,0.83,0.54,0.54,0.62,0.67,0.6,0.69,0.67
smarttag.csv,0.59,0.5,0.51,0.65,0.66,0.52,0.69,0.61,0.68,0.77,0.43,0.81,0.69,0.75,0.78,0.54,0.51,0.83,0.86,0.81
sylpheed-claws.csv,0.48,0.38,0.46,0.49,0.52,0.54,0.49,0.38,0.51,0.46,0.5,0.52,0.43,0.39,0.5,0.47,0.57,0.6,0.58,0.41
xemeiah.csv,0.47,0.42,0.43,0.53,0.54,0.5,0.53,0.41,0.46,0.58,0.57,0.48,0.46,0.44,0.42,0.34,0.43,0.57,0.51,0.48
zscreen.csv,0.44,0.53,0.55,0.49,0.51,0.51,0.45,0.37,0.44,0.42,0.48,0.49,0.44,0.41,0.44,0.47,0.63,0.63,0.5,0.44
