,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.59,0.65,0.55,0.62,0.69,0.85,0.01,0.8,0.55,0.7,0.72,0.54,0.63,0.73,0.93,0.54,0.47,0.51,0.67,0.76
doomlegacy.csv,0.49,0.56,0.56,0.64,0.57,0.67,0.69,0.82,0.55,0.75,0.68,0.78,0.72,0.76,0.43,0.01,0.49,0.52,0.66,0.56
elmo.csv,0.96,0.2,1.0,0.97,0.99,0.97,0.95,1.0,1.0,1.0,0.99,1.0,1.0,0.92,0.98,0.99,1.0,1.0,1.0,1.0
enzo.csv,0.82,0.76,0.76,0.81,0.8,0.75,0.9,0.88,0.59,0.71,0.79,0.46,0.58,0.97,0.02,0.78,0.75,0.78,0.76,0.77
gpac.csv,0.71,0.69,0.71,0.62,0.71,0.75,0.62,0.07,0.76,0.7,0.72,0.62,0.66,0.62,0.92,0.8,1.01,0.55,0.7,0.77
img-browse-sort.csv,0.87,0.77,0.84,0.76,0.87,0.81,0.8,0.64,0.64,0.74,0.82,0.74,0.6,0.0,0.97,0.96,0.54,1.0,0.97,0.88
ktc.csv,0.06,0.8,0.7,0.75,0.57,0.79,0.84,0.83,0.83,0.86,0.69,0.68,0.76,0.65,0.79,0.68,0.58,0.86,0.64,0.69
neoengine.csv,0.47,0.96,0.03,0.64,0.62,0.79,0.61,0.84,0.87,0.63,0.53,0.55,0.63,0.61,0.81,0.73,0.96,0.65,0.57,0.55
nicepress.csv,0.58,0.88,0.63,0.98,0.5,0.01,0.94,0.75,0.8,1.02,0.76,0.77,0.84,0.93,0.83,0.71,0.92,0.45,0.79,0.77
open-ms.csv,0.68,0.77,0.84,0.91,0.79,0.75,0.84,0.81,0.83,0.77,0.75,0.82,0.79,0.9,0.86,0.76,0.77,1.0,0.12,0.77
pcsx2.csv,0.48,0.99,0.51,0.55,0.43,0.77,0.59,0.74,0.82,0.72,0.58,0.4,0.03,0.33,0.82,0.75,0.98,0.6,0.58,0.58
pi-qmc.csv,0.52,0.68,0.5,0.64,0.61,0.65,0.7,0.77,0.69,0.67,0.53,0.56,0.67,0.62,0.54,0.67,0.66,0.05,0.65,0.87
rosegarden.csv,0.47,0.82,0.61,0.8,0.04,0.56,0.85,0.9,0.72,0.72,0.69,0.49,0.77,1.01,0.73,0.75,0.63,0.73,0.69,0.67
salasaga.csv,0.79,0.82,0.83,0.94,0.89,0.86,0.76,0.72,0.8,0.85,0.8,1.0,0.86,0.74,0.94,0.85,0.07,0.9,0.82,0.63
sigil.csv,0.48,0.77,0.57,0.43,0.55,0.45,0.62,0.59,0.71,0.78,0.64,0.03,0.58,0.57,0.71,0.79,0.64,0.52,0.58,0.75
skia.csv,0.64,0.83,0.71,0.93,0.65,0.78,0.83,0.91,0.75,0.57,0.81,0.74,0.8,0.83,0.62,0.77,0.65,0.6,0.74,0.09
smarttag.csv,0.6,0.65,0.65,0.82,0.55,0.65,0.71,0.7,0.68,0.07,0.65,0.8,0.7,0.8,0.82,0.58,0.77,0.82,0.75,0.77
sylpheed-claws.csv,0.51,0.59,0.55,0.68,0.53,0.58,0.62,0.6,0.04,0.7,0.52,0.54,0.55,0.59,0.52,0.69,0.56,0.56,0.57,0.61
xemeiah.csv,0.43,0.65,0.44,0.53,0.48,0.58,0.53,0.75,0.59,0.66,0.02,0.48,0.58,0.59,0.5,0.53,0.45,0.58,0.61,0.58
zscreen.csv,0.55,0.83,0.56,0.02,0.69,0.6,0.65,0.79,0.57,0.73,0.67,0.66,0.47,0.74,1.0,0.6,0.86,0.48,0.7,0.71
