,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.65,0.57,0.59,0.57,0.5,0.47,0.99,0.52,0.67,0.62,0.62,0.56,0.66,0.61,0.29,0.68,0.74,0.61,0.62,0.58
doomlegacy.csv,0.72,0.71,0.62,0.54,0.64,0.54,0.38,0.5,0.63,0.33,0.57,0.35,0.61,0.5,0.66,0.99,0.71,0.55,0.59,0.63
elmo.csv,0.05,0.83,0.0,0.05,0.01,0.04,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.1,0.02,0.01,0.0,0.0,0.0,0.0
enzo.csv,0.51,0.61,0.57,0.52,0.53,0.59,0.35,0.41,0.68,0.63,0.54,0.66,0.67,0.13,0.98,0.55,0.59,0.56,0.57,0.58
gpac.csv,0.38,0.43,0.36,0.51,0.45,0.55,0.52,0.94,0.4,0.62,0.52,0.57,0.55,0.55,0.41,0.42,0.32,0.6,0.4,0.49
img-browse-sort.csv,0.16,0.42,0.19,0.28,0.17,0.23,0.24,0.54,0.47,0.33,0.25,0.31,0.48,1.0,0.04,0.06,0.54,0.0,0.04,0.16
ktc.csv,0.95,0.24,0.35,0.3,0.49,0.26,0.21,0.21,0.2,0.24,0.36,0.38,0.29,0.42,0.42,0.4,0.53,0.17,0.43,0.39
neoengine.csv,0.64,0.17,0.98,0.61,0.6,0.41,0.5,0.48,0.43,0.63,0.64,0.59,0.63,0.55,0.51,0.49,0.17,0.41,0.62,0.61
nicepress.csv,0.49,0.23,0.44,0.02,0.6,1.0,0.07,0.34,0.39,0.0,0.31,0.27,0.2,0.1,0.2,0.35,0.21,0.63,0.28,0.3
open-ms.csv,0.38,0.42,0.32,0.41,0.27,0.47,0.23,0.24,0.47,0.33,0.38,0.22,0.48,0.18,0.33,0.43,0.29,0.06,0.9,0.49
pcsx2.csv,0.65,0.13,0.63,0.52,0.7,0.32,0.63,0.57,0.5,0.5,0.63,0.71,0.98,0.86,0.34,0.33,0.13,0.46,0.58,0.54
pi-qmc.csv,0.55,0.44,0.58,0.47,0.45,0.43,0.36,0.37,0.37,0.46,0.66,0.49,0.5,0.55,0.56,0.42,0.41,0.96,0.43,0.2
rosegarden.csv,0.59,0.24,0.48,0.26,0.97,0.53,0.18,0.14,0.34,0.4,0.36,0.58,0.32,0.0,0.39,0.32,0.44,0.32,0.4,0.4
salasaga.csv,0.5,0.51,0.48,0.38,0.43,0.45,0.5,0.52,0.52,0.32,0.51,0.31,0.46,0.55,0.35,0.46,0.94,0.41,0.5,0.68
sigil.csv,0.73,0.42,0.53,0.67,0.57,0.68,0.59,0.61,0.35,0.56,0.6,0.99,0.65,0.68,0.34,0.26,0.43,0.55,0.57,0.52
skia.csv,0.42,0.23,0.35,0.09,0.43,0.26,0.23,0.11,0.3,0.53,0.23,0.33,0.24,0.39,0.43,0.32,0.41,0.46,0.34,0.93
smarttag.csv,0.5,0.44,0.52,0.26,0.54,0.43,0.35,0.42,0.4,0.94,0.49,0.25,0.37,0.27,0.3,0.49,0.59,0.21,0.31,0.3
sylpheed-claws.csv,0.63,0.59,0.66,0.57,0.6,0.62,0.53,0.62,0.97,0.59,0.67,0.52,0.58,0.64,0.56,0.47,0.68,0.54,0.56,0.67
xemeiah.csv,0.64,0.44,0.67,0.56,0.65,0.55,0.55,0.52,0.5,0.46,0.99,0.67,0.52,0.6,0.7,0.66,0.64,0.49,0.56,0.54
zscreen.csv,0.7,0.23,0.58,0.98,0.6,0.66,0.6,0.54,0.61,0.61,0.62,0.68,0.68,0.55,0.0,0.55,0.46,0.62,0.58,0.56
