,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.62,0.0,0.65,0.78
columba.csv,0.14,0.17,0.08,0.0
decidr.csv,0.38,0.37,0.02,0.31
jajuk.csv,0.0,0.66,0.42,0.17
