,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.81,0.86,0.7,0.52
columba.csv,0.46,0.95,0.89,0.64
decidr.csv,0.41,0.48,0.46,0.53
jajuk.csv,0.44,0.45,0.45,0.55
