,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.67,0.37,0.43,0.81
jajuk.csv,0.74,0.36,0.45,0.76
vapor.csv,0.03,0.33,0.25,0.11
zorannt.csv,0.25,0.33,0.22,0.18
