,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.71,0.18,0.71,0.52,1.0
open-data-kit.csv,0.67,0.1,0.98,0.61,0.46
qtractor.csv,1.0,0.1,0.56,0.6,0.3
quarkplayer.csv,0.17,0.95,0.2,0.19,0.19
turbotrader-bos.csv,0.54,0.2,0.37,0.97,0.29
