,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.61,0.66,0.45,0.68,0.0
open-data-kit.csv,0.58,0.78,0.04,0.42,0.54
qtractor.csv,0.0,0.77,0.59,0.44,0.73
quarkplayer.csv,1.09,0.09,0.94,0.88,0.95
turbotrader-bos.csv,0.61,0.66,0.77,0.04,0.8
