,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.58,0.19,0.25,0.65,0.0
open-data-kit.csv,0.5,0.63,0.0,0.32,0.41
qtractor.csv,0.0,0.44,0.14,0.31,0.42
quarkplayer.csv,0.67,0.0,0.36,0.27,0.64
turbotrader-bos.csv,0.08,0.16,0.07,0.01,0.58
