,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.11,0.11,0.09,0.31,0.12,0.27,0.21,0.56,0.48,0.31,0.2,0.25
autowikibrowser.csv,0.4,0.43,0.42,0.57,0.18,0.6,0.21,0.49,0.21,0.26,0.4,0.56
cities3d.csv,0.0,0.71,0.06,0.55,0.06,0.28,0.14,0.0,0.06,0.07,0.5,0.0
firebird.csv,0.23,0.43,0.29,0.4,0.09,0.6,0.32,0.84,0.79,0.63,0.35,0.66
hydrogen.csv,0.64,1.0,1.0,1.0,1.0,0.98,0.17,0.07,1.0,1.0,1.0,0.75
lphant.csv,0.48,0.4,0.44,0.43,0.47,0.47,0.27,0.33,0.24,0.46,0.44,0.28
qgo.csv,0.81,0.14,0.79,0.41,0.38,0.83,0.32,0.7,0.94,0.8,0.74,0.66
quickfast.csv,0.78,0.43,0.82,0.26,0.21,0.76,0.45,0.3,0.85,0.93,0.51,0.22
rhex.csv,0.23,0.54,0.27,0.36,0.07,0.4,0.16,0.23,0.0,0.26,0.35,0.38
rocrail.csv,0.31,0.26,0.3,0.94,0.24,0.59,0.26,0.33,0.7,0.43,0.25,0.38
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0
yield.csv,0.58,0.51,0.44,0.9,0.16,1.0,0.69,0.81,0.73,0.5,0.62,0.75
