,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.33,0.5,0.3,0.62,0.57,0.73,0.69,0.8,0.73,0.59,0.68,0.66
autowikibrowser.csv,0.67,0.77,0.6,0.76,0.63,0.7,0.56,0.6,0.64,0.68,0.91,0.83
cities3d.csv,0.0,0.77,0.22,0.6,0.13,0.68,0.5,0.0,0.23,0.43,0.91,0.02
firebird.csv,0.42,0.63,0.58,0.67,0.49,0.78,0.62,1.0,0.77,0.86,0.68,0.7
hydrogen.csv,0.92,1.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,0.83
lphant.csv,0.83,0.67,0.58,0.62,0.71,0.73,0.69,0.4,0.68,0.86,0.95,0.66
qgo.csv,0.92,0.93,0.88,0.72,0.67,0.89,0.81,0.7,0.95,0.98,1.0,0.94
quickfast.csv,0.83,0.6,0.8,0.42,0.27,0.76,0.75,0.4,0.95,0.91,0.73,0.74
rhex.csv,0.83,0.67,0.24,0.38,0.19,0.54,0.56,0.2,0.05,0.23,0.55,0.53
rocrail.csv,0.67,0.7,0.48,0.95,0.56,0.7,0.81,0.5,0.86,0.68,0.91,0.6
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
yield.csv,0.58,0.83,0.7,0.95,0.71,1.0,0.88,1.0,0.91,0.75,0.95,0.89
