,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.38,0.55,0.35,0.63,0.61,0.73,0.71,0.69,0.68,0.61,0.7,0.68
autowikibrowser.csv,0.65,0.72,0.6,0.66,0.66,0.61,0.59,0.58,0.67,0.69,0.82,0.71
cities3d.csv,0.0,0.58,0.26,0.56,0.16,0.69,0.55,0.0,0.27,0.48,0.78,0.02
firebird.csv,0.46,0.62,0.6,0.65,0.54,0.66,0.63,0.49,0.5,0.68,0.67,0.58
hydrogen.csv,0.7,0.0,0.0,0.0,0.0,0.09,0.76,0.0,0.0,0.0,0.0,0.57
lphant.csv,0.74,0.65,0.58,0.61,0.66,0.68,0.7,0.44,0.69,0.77,0.83,0.67
qgo.csv,0.52,0.92,0.54,0.69,0.66,0.48,0.78,0.55,0.24,0.55,0.64,0.69
quickfast.csv,0.53,0.59,0.47,0.46,0.31,0.53,0.7,0.44,0.46,0.27,0.66,0.75
rhex.csv,0.82,0.61,0.28,0.41,0.23,0.55,0.6,0.23,0.06,0.27,0.57,0.55
rocrail.csv,0.67,0.71,0.51,0.24,0.59,0.61,0.79,0.53,0.63,0.65,0.87,0.6
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0
yield.csv,0.54,0.73,0.67,0.35,0.73,0.0,0.64,0.54,0.62,0.68,0.73,0.59
