,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.58,0.55,0.45,0.35,0.64,0.8,0.24,0.78,0.46,0.63,0.72,0.61,0.61,0.75,0.35,0.58,0.37,0.56,0.81
aubit4gl.csv,0.03,0.09,0.18,0.06,0.24,0.25,0.62,0.02,0.35,0.0,0.44,0.04,0.37,0.15,0.35,0.28,0.32,0.44,0.09
ipfilter.csv,0.9,0.88,0.69,0.52,0.65,0.91,0.83,0.84,0.73,0.86,0.61,0.78,0.61,0.97,0.52,0.71,0.11,0.67,0.56
jmol.csv,0.78,0.54,1.0,0.54,0.93,0.59,0.31,0.94,0.65,0.97,0.64,0.48,1.0,0.85,0.65,1.0,0.95,0.44,0.5
liferea.csv,0.52,0.55,0.37,0.27,0.44,0.3,0.21,0.8,0.31,0.34,0.15,0.43,0.39,0.17,0.13,0.23,0.32,0.22,0.09
miranda-icq.csv,0.42,0.66,0.25,0.46,0.49,0.98,1.0,0.92,0.12,0.26,0.85,0.13,0.58,0.15,0.81,0.29,0.26,0.11,0.31
moving-pictures.csv,0.28,0.16,0.33,0.44,0.53,0.3,0.0,0.22,0.06,0.51,0.1,0.35,0.47,0.01,0.26,0.31,0.32,0.11,0.16
opensim4opencog.csv,0.47,0.45,0.69,0.46,0.53,0.48,0.1,0.84,0.85,0.8,0.26,0.91,0.76,0.66,0.35,0.46,0.53,0.33,0.25
pclasses.csv,0.29,0.18,0.08,0.4,0.03,0.05,0.0,0.16,0.04,0.23,0.32,0.17,0.18,0.01,0.35,0.01,0.32,0.0,0.72
pfaedit.csv,0.33,0.09,0.33,0.21,0.44,0.32,0.0,0.3,0.54,0.23,0.19,0.65,0.58,0.05,0.1,0.01,0.0,0.22,0.12
plearn.csv,0.38,0.27,0.65,0.33,0.51,0.34,0.0,0.7,0.06,0.03,0.31,0.09,0.66,0.09,0.52,0.08,0.58,0.11,0.44
psrchive.csv,0.39,0.27,0.22,0.17,0.21,0.52,0.72,0.4,0.58,0.31,0.55,0.13,0.53,0.54,0.39,0.67,0.47,0.67,0.22
re2c.csv,0.23,0.18,0.02,0.58,0.53,0.36,0.76,0.1,0.27,0.17,0.58,0.26,0.34,0.05,0.61,0.46,0.68,0.67,0.38
rockbox.csv,0.14,0.16,0.25,0.75,0.31,0.27,0.0,0.36,0.31,0.49,0.12,0.52,0.47,0.04,0.42,0.23,0.21,0.11,0.38
theresa.csv,0.35,0.3,0.43,0.4,0.28,0.2,0.17,0.24,0.46,0.34,0.17,0.3,0.26,0.61,0.23,0.35,0.53,0.33,0.06
tktoolkit.csv,0.42,0.39,0.31,0.83,0.61,0.86,0.76,0.5,0.75,0.6,0.78,0.78,0.53,0.19,0.87,0.99,1.0,1.0,0.88
tzod.csv,0.11,0.07,0.02,0.29,0.25,0.32,0.03,0.3,0.23,0.06,0.09,0.17,0.24,0.21,0.0,0.38,0.37,0.11,0.12
yaprm.csv,0.48,0.43,0.53,0.17,0.35,0.05,0.0,0.28,0.38,0.09,0.15,0.26,0.32,0.28,0.1,0.02,0.0,0.0,0.16
zemljanka.csv,0.86,0.71,0.94,0.6,0.79,0.86,0.86,0.56,0.79,0.77,0.94,0.87,0.82,0.83,0.94,0.69,0.84,0.0,0.72
