,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.33,0.56,0.51,0.22,0.83,0.48,0.55,0.35,0.72,0.52,0.52
emono.csv,0.32,0.54,0.34,0.53,0.57,0.6,0.48,0.52,0.63,0.52,0.67
haggle.csv,0.66,0.62,0.24,0.45,0.82,0.58,0.09,0.0,0.25,0.38,0.45
hannosset.csv,0.16,0.11,0.06,0.0,0.42,0.94,0.37,0.0,0.1,0.25,0.32
jas.csv,0.39,0.43,0.31,0.8,0.7,0.2,0.62,0.88,0.37,0.31,0.39
jgossipforum.csv,0.64,0.45,0.35,0.99,0.75,0.0,0.57,0.0,0.57,0.5,0.38
madman.csv,0.15,0.4,0.37,0.23,0.95,0.37,0.55,0.27,0.32,0.48,0.33
mediate.csv,0.38,0.55,0.65,0.73,0.53,0.5,0.46,0.61,0.66,0.55,0.4
ngl.csv,0.63,0.4,0.56,0.75,0.7,0.67,0.66,0.55,0.68,0.49,0.48
pustefix.csv,0.56,0.43,0.04,0.24,0.58,0.2,0.31,0.42,0.39,0.59,0.48
synecdoche.csv,0.47,0.13,0.48,0.23,0.36,0.53,0.3,0.14,0.4,0.68,0.21
